City,Average Fatalities All Mode,All Mode Fatality Rate,All Mode Fatality Points,Average Fatalities Bike,Bike Fatality Rate,Bike Fatality Points,All Mode Injuries,All Mode Injury Rate,All Mode Injury Points,Bike Injuries,Bike Injury Rate,Bike Injury Points,All mode safety points,Bike Safety Points,Community Survey Safety Score,Total Safety Points
"CORPUS CHRISTI, TX",25.6,0.8,3.0,0.4,9.7,3.0,,,,,,,1.5,1.5,1.9,1.6
"ROANOKE, VA",7.6,0.8,3.0,0.2,6.0,4.0,,,,,,,1.5,2.0,2.8,2.0
"ALBANY, NY",5.8,0.6,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,,1.6
"CAMBRIDGE, MA",2.4,0.2,4.0,1.0,2.3,4.0,,,,,,,2.0,2.0,2.6,2.1
"FREDERICK, MD",0.8,0.1,4.0,0.2,7.0,4.0,,,,,,,2.0,2.0,2.6,2.1
"GLENDALE, AZ",24.2,1.0,2.0,0.4,4.2,4.0,,,,,,,1.0,2.0,2.5,1.7
"MENOMONEE FALLS, WI",1.8,0.5,3.0,0.0,0.0,5.0,12.5,3.4,2.0,1.0,357.1,0.0,2.5,2.5,3.0,2.6
"ROCHESTER, MN",3.4,0.3,4.0,0.4,6.1,4.0,,,,,,,2.0,2.0,,1.6
"SPRINGFIELD, VA",0.0,0.0,5.0,0.0,0.0,5.0,,,,,,,2.5,2.5,2.8,2.6
"LAFAYETTE, LA",15.6,1.2,2.0,1.6,22.8,3.0,,,,,,,1.0,1.5,,1.0
"EAST HONOLULU, HI",,,,,,,,,,,,,,,,
"FOLSOM, CA",3.8,0.5,3.0,0.2,8.7,4.0,,,,,,,1.5,2.0,3.3,2.1
"HURST, TX",3.8,1.0,2.0,0.0,0.0,5.0,,,,,,,1.0,2.5,,1.4
"HOUSTON, TX",225.0,1.0,2.0,6.2,11.0,3.0,,,,,,,1.0,1.5,1.9,1.4
"CARLSBAD, CA",6.0,0.5,3.0,0.8,42.8,2.0,,,,,,,1.5,1.0,,1.0
"COLUMBUS, OH",50.0,0.6,3.0,2.2,6.9,4.0,,,,,,,1.5,2.0,2.5,1.9
"ASHEVILLE, NC",14.4,1.6,2.0,0.0,0.0,5.0,,,,,,,1.0,2.5,1.8,1.8
"WARREN, MI",9.6,0.7,3.0,0.2,9.6,3.0,,,,,,,1.5,1.5,2.3,1.7
"NEW YORK, NY",244.6,0.3,4.0,16.0,3.4,4.0,,,,,,,2.0,2.0,,1.6
"GREEN BAY, WI",3.8,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.6,2.3
"ARLINGTON, TX",27.2,0.7,3.0,1.0,25.4,2.0,,,,,,,1.5,1.0,2.0,1.4
"SPOKANE, WA",11.2,0.5,3.0,1.0,14.6,3.0,,,,,,,1.5,1.5,2.5,1.7
"VIRGINIA BEACH, VA",23.2,0.5,3.0,1.8,13.1,3.0,,,,,,,1.5,1.5,,1.2
"ALBUQUERQUE, NM",66.4,1.2,2.0,1.8,4.8,4.0,,,,,,,1.0,2.0,2.4,1.7
"FAYETTEVILLE, NC",23.2,1.1,2.0,0.2,14.2,3.0,,,,,,,1.0,1.5,1.8,1.4
"SAINT CHARLES, IL",0.8,0.2,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8
"ARLINGTON, VA",0.0,0.0,5.0,0.0,0.0,5.0,3.0,0.1,4.0,0.0,0.0,5.0,4.5,5.0,3.0,4.4
"OMAHA, NE",31.6,0.7,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.2,2.0
"CHAMPAIGN, IL",3.6,0.4,4.0,0.4,3.5,4.0,,,,,,,2.0,2.0,2.6,2.1
"MADISON, WI",8.2,0.3,4.0,0.8,1.2,4.0,102.5,4.1,2.0,6.5,9.5,4.0,3.0,4.0,3.2,3.4
"ROCHESTER, NY",12.8,0.6,3.0,1.0,10.1,3.0,195.0,9.3,0.0,12.5,125.9,0.0,1.5,1.5,2.5,1.7
"SAVANNAH, GA",25.0,1.7,1.0,1.2,9.0,4.0,,,,,,,0.5,2.0,1.9,1.4
"SCOTTS VALLEY, CA",0.0,0.0,5.0,0.0,0.0,5.0,,,,,,,2.5,2.5,,2.0
"KINGSTON, NY",2.4,1.0,2.0,0.0,0.0,5.0,,,,,,,1.0,2.5,2.4,1.9
"HARRISBURG, PA",4.4,0.9,2.0,0.0,0.0,5.0,,,,,,,1.0,2.5,2.3,1.9
"SAN FRANCISCO, CA",31.6,0.4,4.0,2.4,1.2,4.0,,,,,,,2.0,2.0,2.3,2.1
"CLEVELAND, OH",36.2,0.9,2.0,0.2,2.1,4.0,,,,,,,1.0,2.0,2.4,1.7
"BARBERTON, OH",1.0,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8
"LAKE CHARLES, LA",14.2,1.9,1.0,0.6,19.8,3.0,,,,,,,0.5,1.5,,0.8
"MOBILE, AL",26.6,1.4,2.0,1.0,84.0,1.0,,,,,,,1.0,0.5,1.7,0.9
"FEDERAL WAY, WA",5.8,0.6,3.0,0.2,19.0,3.0,25.0,2.6,3.0,0.5,47.6,3.0,3.0,3.0,,2.4
"JACKSON, MS",23.4,1.4,2.0,0.2,50.0,2.0,,,,,,,1.0,1.0,1.9,1.2
"CHATTANOOGA, TN",26.8,1.5,2.0,0.8,22.2,3.0,,,,,,,1.0,1.5,2.6,1.5
"AURORA, CO",23.8,0.7,3.0,0.6,21.5,3.0,,,,,,,1.5,1.5,2.6,1.7
"NEW ORLEANS, LA",50.4,1.3,2.0,4.2,7.5,4.0,,,,,,,1.0,2.0,2.0,1.6
"REDWOOD CITY, CA",2.0,0.2,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.3,2.3
"LINCOLN, NE",10.0,0.4,4.0,0.4,2.0,4.0,,,,,,,2.0,2.0,3.1,2.2
"PROVIDENCE, RI",9.2,0.5,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.3,2.1
"PROVO, UT",3.8,0.3,4.0,1.0,6.5,4.0,,,,,,,2.0,2.0,2.6,2.1
