City,Overall Score,Ridership,Safety,Acceleration,Network,Reach,Value,City Name,State
"HILO, HI",1.2,1.0,1.0,,1.6,1.3,81,HILO,HI
"CONCORD, NH",1.3,1.4,2.2,0.5,1.3,1.3,87,CONCORD,NH
"ROSWELL, GA",1.2,1.6,1.5,0.5,1.3,1.3,76,ROSWELL,GA
"TEMPE, AZ",1.6,2.2,1.7,0.6,2.2,1.3,18,TEMPE,AZ
"RENO, NV",1.5,1.7,1.9,0.6,2.2,1.3,32,RENO,NV
"BEAVERTON, OR",1.6,1.8,2.3,0.5,2.1,1.3,75,BEAVERTON,OR
"CEDAR RAPIDS, IA",1.7,1.9,2.4,0.7,2.2,1.3,70,CEDAR RAPIDS,IA
"BUTTE, MT",1.4,1.2,1.6,,1.6,1.3,62,BUTTE,MT
"CONCORD, NC",1.1,0.9,1.4,,0.8,1.3,17,CONCORD,NC
"COLUMBIA, SC",1.3,1.5,1.1,0.4,2.0,1.3,30,COLUMBIA,SC
"SIOUX CITY, IA",1.3,1.5,2.1,0.4,1.3,1.2,57,SIOUX CITY,IA
"LONGMONT, CO",1.4,1.7,1.9,0.6,1.4,1.2,12,LONGMONT,CO
"CHESAPEAKE, VA",1.3,1.5,1.6,0.3,1.9,1.2,53,CHESAPEAKE,VA
"KENNER, LA",1.3,0.9,1.6,,1.6,1.2,88,KENNER,LA
"SAN DIEGO, CA",3.0,2.1,3.3,3.8,2.2,1.2,35,SAN DIEGO,CA
"NORMAN, OK",1.6,2.0,2.1,0.5,2.0,1.2,32,NORMAN,OK
"ABERDEEN, SD",1.5,1.2,1.4,,2.4,1.1,64,ABERDEEN,SD
"JONESBORO, AR",1.1,1.3,1.7,0.3,1.2,1.1,52,JONESBORO,AR
"MIDDLETOWN, DE",1.3,0.9,1.8,,1.6,1.0,63,MIDDLETOWN,DE
"SANTA MONICA, CA",3.1,2.6,3.7,2.6,2.9,1.0,13,SANTA MONICA,CA
"PARKERSBURG, WV",1.0,0.9,0.6,,1.6,1.0,68,PARKERSBURG,WV
"HENDERSON, NV",1.4,1.5,2.1,0.5,2.2,0.9,3,HENDERSON,NV
"BLOOMINGTON, IN",1.7,1.9,1.9,0.6,3.0,0.9,68,BLOOMINGTON,IN
"METAIRIE, LA",1.3,1.1,1.8,,1.6,0.9,64,METAIRIE,LA
"ROCKFORD, IL",1.3,1.6,1.4,0.5,2.1,0.9,96,ROCKFORD,IL
"CLARKSVILLE, TN",1.1,1.3,1.1,0.3,2.0,0.8,53,CLARKSVILLE,TN
"CHEYENNE, WY",1.2,1.6,1.3,0.4,2.1,0.7,61,CHEYENNE,WY
"WHEELING, WV",1.2,0.8,1.8,,1.6,0.5,82,WHEELING,WV
"BELLEVUE, NE",1.3,1.3,1.8,,1.6,0.4,82,BELLEVUE,NE
