City,Overall Score,Ridership,Safety,Acceleration,Network,Reach,Value,City Name,State
"GAINESVILLE, FL",2.4,2.4,2.1,1.1,1.4,2.4,38,GAINESVILLE,FL
"DOVER, DE",1.3,1.4,1.2,0.4,1.2,2.4,89,DOVER,DE
"CRANSTON, RI",1.4,0.9,0.8,,1.6,2.4,99,CRANSTON,RI
"SAINT CHARLES, MO",1.6,1.2,1.8,,0.8,2.4,49,SAINT CHARLES,MO
"FORT LAUDERDALE, FL",2.1,1.6,1.6,1.1,1.2,2.4,72,FORT LAUDERDALE,FL
"SAINT CLOUD, MN",1.7,1.2,1.8,,1.6,2.4,79,SAINT CLOUD,MN
"OLATHE, KS",1.8,1.9,2.3,0.4,2.0,2.4,54,OLATHE,KS
"AVONDALE, AZ",1.5,1.3,2.1,0.3,1.2,2.4,19,AVONDALE,AZ
"TUCSON, AZ",2.9,2.6,2.6,2.0,2.3,2.4,18,TUCSON,AZ
"LAS CRUCES, NM",1.5,1.7,1.7,0.5,1.3,2.4,4,LAS CRUCES,NM
"SILVER SPRING, MD",1.7,1.6,2.5,0.5,1.3,2.4,27,SILVER SPRING,MD
"ANAHEIM, CA",1.4,1.4,1.6,0.3,1.2,2.3,4,ANAHEIM,CA
"FORT WORTH, TX",1.6,1.5,1.5,0.6,2.1,2.3,34,FORT WORTH,TX
"FLINT, MI",1.5,1.4,1.3,0.5,2.1,2.3,89,FLINT,MI
"STOCKTON, CA",1.5,1.0,1.0,,1.6,2.3,11,STOCKTON,CA
"LAWRENCE, KS",3.3,1.8,3.9,3.8,2.2,2.3,48,LAWRENCE,KS
"APPLETON, WI",1.8,1.9,2.2,0.6,2.1,2.3,80,APPLETON,WI
"RIVERSIDE, CA",1.4,1.5,1.5,0.5,1.3,2.3,2,RIVERSIDE,CA
"MONTGOMERY, AL",1.4,1.2,1.2,0.3,1.9,2.3,64,MONTGOMERY,AL
"IRVINE, CA",1.9,2.0,2.4,0.5,2.2,2.3,23,IRVINE,CA
"NASHUA, NH",1.4,1.5,1.7,0.4,1.3,2.3,62,NASHUA,NH
"LITTLE ROCK, AR",1.7,1.4,1.9,0.6,2.2,2.3,88,LITTLE ROCK,AR
"NEW HAVEN, CT",1.6,1.7,2.1,0.6,1.4,2.3,70,NEW HAVEN,CT
"VANCOUVER, WA",1.7,1.7,2.1,0.5,2.1,2.3,66,VANCOUVER,WA
"BUFFALO, NY",2.5,1.8,1.9,2.8,1.3,2.3,99,BUFFALO,NY
"AUSTIN, TX",2.9,2.2,2.5,3.7,1.5,2.3,86,AUSTIN,TX
"SEATTLE, WA",2.3,3.2,2.1,0.7,3.1,2.3,80,SEATTLE,WA
"HONOLULU, HI",1.6,2.0,1.8,0.5,1.3,2.3,45,HONOLULU,HI
"SACRAMENTO, CA",1.7,2.1,1.5,0.6,2.2,2.3,11,SACRAMENTO,CA
"MIAMI, FL",1.4,1.4,1.4,0.5,1.3,2.3,79,MIAMI,FL
"DETROIT, MI",1.6,1.7,1.3,0.7,2.1,2.3,69,DETROIT,MI
"ANCHORAGE, AK",1.8,2.1,1.9,0.6,2.2,2.2,86,ANCHORAGE,AK
"DAVIS, CA",2.4,3.0,2.5,0.7,3.8,2.2,1,DAVIS,CA
"SAINT LOUIS, MO",1.7,1.9,1.6,0.6,2.1,2.2,93,SAINT LOUIS,MO
"CORPUS CHRISTI, TX",1.3,1.4,1.6,0.4,1.1,2.2,75,CORPUS CHRISTI,TX
"ROANOKE, VA",1.6,1.6,2.0,0.6,1.5,2.2,56,ROANOKE,VA
"ALBANY, NY",1.4,1.0,1.6,,0.8,2.2,91,ALBANY,NY
"CAMBRIDGE, MA",2.2,3.7,2.1,0.6,2.2,2.2,98,CAMBRIDGE,MA
"FREDERICK, MD",1.6,1.5,2.1,0.6,1.4,2.2,49,FREDERICK,MD
"GLENDALE, AZ",1.6,1.6,1.7,0.4,2.1,2.2,12,GLENDALE,AZ
"ROCHESTER, MN",1.7,1.4,1.6,,1.6,2.2,58,ROCHESTER,MN
"LAFAYETTE, LA",1.3,1.1,1.0,,0.8,2.2,50,LAFAYETTE,LA
"EAST HONOLULU, HI",1.4,1.1,,,0.8,2.2,45,EAST HONOLULU,HI
"FOLSOM, CA",1.8,1.5,2.1,0.6,2.3,2.2,10,FOLSOM,CA
"HOUSTON, TX",1.4,1.6,1.4,0.6,1.3,2.2,89,HOUSTON,TX
"CARLSBAD, CA",1.3,1.1,1.0,,0.8,2.2,28,CARLSBAD,CA
"COLUMBUS, OH",1.8,2.1,1.9,0.6,2.2,2.2,71,COLUMBUS,OH
"ASHEVILLE, NC",1.5,1.5,1.8,0.6,1.4,2.2,70,ASHEVILLE,NC
"WARREN, MI",1.5,1.6,1.7,0.3,1.9,2.2,69,WARREN,MI
"NEW YORK, NY",1.9,1.5,1.6,,2.4,2.2,65,NEW YORK,NY
"GREEN BAY, WI",1.8,1.8,2.3,0.6,2.1,2.2,82,GREEN BAY,WI
"ARLINGTON, TX",1.3,1.4,1.4,0.3,1.2,2.2,38,ARLINGTON,TX
"SPOKANE, WA",1.7,1.7,1.7,0.6,2.2,2.2,58,SPOKANE,WA
"VIRGINIA BEACH, VA",1.4,1.3,1.2,,0.8,2.2,92,VIRGINIA BEACH,VA
"ALBUQUERQUE, NM",1.6,2.2,1.7,0.6,1.5,2.1,38,ALBUQUERQUE,NM
"FAYETTEVILLE, NC",1.3,1.4,1.4,0.3,1.2,2.1,48,FAYETTEVILLE,NC
"ARLINGTON, VA",3.4,2.3,4.4,2.6,3.0,2.1,93,ARLINGTON,VA
"OMAHA, NE",1.7,1.8,2.0,0.5,2.1,2.1,83,OMAHA,NE
"CHAMPAIGN, IL",1.8,1.9,2.1,0.5,2.1,2.1,73,CHAMPAIGN,IL
"MADISON, WI",3.2,2.9,3.4,2.0,3.1,2.1,83,MADISON,WI
"ROCHESTER, NY",2.6,1.7,1.7,3.5,1.4,2.1,99,ROCHESTER,NY
"SAVANNAH, GA",1.4,1.8,1.4,0.4,1.2,2.1,59,SAVANNAH,GA
"SAN FRANCISCO, CA",2.2,3.3,2.1,0.7,3.0,2.1,57,SAN FRANCISCO,CA
"CLEVELAND, OH",1.7,1.8,1.7,0.7,2.2,2.1,87,CLEVELAND,OH
"LAKE CHARLES, LA",1.2,1.0,0.8,,0.8,2.1,30,LAKE CHARLES,LA
"MOBILE, AL",1.3,1.3,0.9,0.4,1.9,2.1,55,MOBILE,AL
"FEDERAL WAY, WA",1.9,1.0,2.4,2.4,1.6,2.1,92,FEDERAL WAY,WA
"JACKSON, MS",1.2,1.2,1.2,0.3,1.1,2.1,36,JACKSON,MS
"CHATTANOOGA, TN",1.6,1.5,1.5,0.6,2.2,2.1,77,CHATTANOOGA,TN
"AURORA, CO",1.5,1.8,1.7,0.5,1.4,2.1,74,AURORA,CO
"NEW ORLEANS, LA",3.0,2.5,1.6,4.0,2.1,2.1,64,NEW ORLEANS,LA
"REDWOOD CITY, CA",1.7,1.9,2.3,0.4,2.0,2.1,26,REDWOOD CITY,CA
"LINCOLN, NE",2.7,2.0,2.2,2.4,2.2,2.1,49,LINCOLN,NE
"PROVIDENCE, RI",3.0,1.8,2.1,4.3,2.1,2.1,99,PROVIDENCE,RI
"PROVO, UT",1.8,1.8,2.1,0.6,2.2,2.0,25,PROVO,UT
