City,Percent Communities of Concern,Number Underserved Communities,Average BNA,BNA Underserved Communities,BNA Gap,BNA Tier,BNA Target,Distance,BNA Points.1,ACS Bike-to-Work Mode Share Men,ACS Bike-to-Work Mode Share Women,ACS Gap,ACS Tier,ACS_Target,Distance.1,ACS Points,Total Reach Points
"HILLSBORO, OR",5.7,5,26.6,32.6,-6.0,1.0,-25.0,19.0,3.0,0.02,0.01,0.01,3.0,-0.6,0.61,3.1,3.0
"HELENA, MT",4.7,2,32.3,47.0,-14.7,,,,,0.04,0.01,0.03,3.0,-0.6,0.63,3.0,3.0
"BRECKENRIDGE, CO",14.3,1,15.9,39.3,-23.4,,,,,0.03,0.0,0.03,3.0,-0.6,0.63,3.0,3.0
"KEY WEST, FL",7.7,2,25.2,39.4,-14.2,,,,,0.17,0.14,0.03,3.0,-0.6,0.63,3.0,3.0
"SANTA CRUZ, CA",4.5,3,15.2,17.6,-2.4,,,,,0.14,0.1,0.03,3.0,-0.6,0.63,3.0,3.0
"REXBURG, ID",0.0,0,18.3,,,,,,,0.06,0.02,0.04,3.0,-0.6,0.64,3.0,3.0
"LARAMIE, WY",0.0,0,49.2,,,,,,,0.08,0.04,0.04,3.0,-0.6,0.64,3.0,3.0
"OLYMPIA, WA",12.9,8,23.3,30.4,-7.1,2.0,-20.0,12.9,3.0,0.05,0.03,0.02,3.0,-0.6,0.62,3.1,3.0
"KEENE, NH",0.0,0,7.6,,,,,,,0.05,0.01,0.04,3.0,-0.6,0.64,3.0,3.0
"STEAMBOAT SPRINGS, CO",0.0,0,8.5,,,,,,,0.1,0.06,0.04,3.0,-0.6,0.64,3.0,3.0
"CLEMSON, SC",11.8,2,17.6,20.5,-2.9,,,,,0.05,0.0,0.04,3.0,-0.6,0.64,3.0,3.0
"NORTHAMPTON, MA",9.1,2,21.4,16.9,4.5,,,,,0.08,0.02,0.05,3.0,-0.6,0.65,3.0,3.0
"ATHENS, OH",10.5,2,30.1,27.8,2.3,,,,,0.09,0.04,0.06,3.0,-0.6,0.66,2.9,2.9
"MILL VALLEY, CA",0.0,0,26.2,,,,,,,0.09,0.02,0.06,3.0,-0.6,0.66,2.9,2.9
"MURFREESBORO, TN",14.1,10,19.5,25.8,-6.4,3.0,-15.0,8.6,3.4,0.01,0.0,0.01,2.0,-0.05,0.06,1.5,2.9
"FALMOUTH, MA",0.0,0,16.9,,,,,,,0.08,0.01,0.07,3.0,-0.6,0.67,2.9,2.9
"WINTHROP, WA",0.0,0,20.1,,,,,,,0.08,0.0,0.08,3.0,-0.6,0.68,2.9,2.9
"REDDING, CA",8.4,7,14.9,18.0,-3.1,3.0,-15.0,11.9,2.8,0.02,0.01,0.01,3.0,-0.6,0.61,3.1,2.9
"WICHITA, KS",18.9,63,30.5,40.9,-10.5,1.0,-25.0,14.5,3.5,0.01,0.0,0.01,1.0,-0.02,0.03,1.0,2.9
"BOULDER, CO",4.3,4,52.4,51.0,1.4,,,,,0.19,0.11,0.09,3.0,-0.6,0.69,2.9,2.9
"SANTA BARBARA, CA",15.1,16,22.9,29.0,-6.0,2.0,-20.0,14.0,2.8,0.08,0.02,0.06,3.0,-0.6,0.66,3.0,2.8
"QUINCY, IL",9.3,4,55.2,63.5,-8.3,1.0,-25.0,16.7,3.3,0.01,0.0,0.0,2.0,-0.05,0.05,1.6,2.8
"FORT SMITH, AR",10.8,9,27.9,36.4,-8.5,1.0,-25.0,16.5,3.3,0.0,0.0,0.0,1.0,-0.02,0.02,1.5,2.8
"QUEENS, NY",14.2,249,47.0,50.5,-3.5,1.0,-25.0,21.5,2.8,0.02,0.01,0.01,3.0,-0.6,0.61,3.1,2.8
"AVENTURA, FL",7.9,3,8.2,13.9,-5.7,3.0,-15.0,9.3,3.3,0.01,0.0,0.01,2.0,-0.05,0.06,1.5,2.8
"MOUNT PLEASANT, SC",11.1,4,22.8,31.3,-8.5,2.0,-20.0,11.5,3.2,0.01,0.01,0.0,2.0,-0.05,0.05,1.7,2.8
"ANN ARBOR, MI",8.5,9,32.5,35.6,-3.1,1.0,-25.0,21.9,2.7,0.09,0.05,0.04,3.0,-0.6,0.64,3.0,2.8
"FITCHBURG, WI",25.6,10,34.3,43.7,-9.4,1.0,-25.0,15.6,3.4,0.01,0.0,0.01,2.0,-0.05,0.06,1.0,2.8
"GRAND ISLAND, NE",6.8,3,17.0,22.6,-5.6,3.0,-15.0,9.4,3.3,0.01,0.0,0.01,2.0,-0.05,0.06,1.3,2.8
"VENTURA, CA",6.7,5,28.2,36.9,-8.7,1.0,-25.0,16.3,3.3,0.02,0.01,0.01,2.0,-0.05,0.06,1.2,2.8
"STANFORD, CA",0.0,0,24.1,,,,,,,0.68,0.56,0.12,3.0,-0.6,0.72,2.8,2.8
"OREM, UT",5.9,5,26.7,29.1,-2.4,1.0,-25.0,22.6,2.6,0.02,0.01,0.01,3.0,-0.6,0.61,3.1,2.7
"TAMPA, FL",25.3,110,10.4,12.6,-2.2,3.0,-15.0,12.8,2.6,0.02,0.01,0.01,3.0,-0.6,0.61,3.1,2.7
"RUTLAND, VT",5.6,1,40.1,46.3,-6.1,,,,,0.0,0.01,-0.01,1.0,-0.02,0.01,2.7,2.7
"INDEPENDENCE, MO",11.5,15,23.2,30.7,-7.5,2.0,-20.0,12.5,3.0,0.0,0.0,0.0,1.0,-0.02,0.02,1.8,2.7
"CARROLLTON, GA",20.8,5,10.7,14.3,-3.6,3.0,-15.0,11.4,2.9,0.0,0.01,0.0,1.0,-0.02,0.02,2.2,2.7
"LANSING, MI",19.2,29,24.9,33.3,-8.4,2.0,-20.0,11.6,3.2,0.01,0.0,0.01,2.0,-0.05,0.06,1.3,2.7
"AURORA, IL",15.6,23,43.8,50.0,-6.3,1.0,-25.0,18.7,3.0,0.0,0.0,0.0,1.0,-0.02,0.02,1.7,2.7
"GOOSE CREEK, SC",9.1,4,16.6,21.5,-4.9,3.0,-15.0,10.1,3.1,0.0,0.0,0.0,1.0,-0.02,0.02,1.4,2.7
"CHARLESTON, WV",12.9,9,18.3,23.4,-5.1,3.0,-15.0,9.9,3.2,0.01,0.0,0.01,2.0,-0.05,0.06,1.3,2.7
"TROY, OH",3.8,1,42.0,69.3,-27.3,,,,,0.0,0.01,-0.01,1.0,-0.02,0.01,2.7,2.7
"KANSAS CITY, KS",20.2,36,32.4,38.9,-6.4,1.0,-25.0,18.6,3.1,0.0,0.0,0.0,1.0,-0.02,0.02,1.5,2.7
"SANTA MARIA, CA",12.7,9,66.0,73.0,-7.0,1.0,-25.0,18.0,3.1,0.01,0.0,0.01,2.0,-0.05,0.06,1.3,2.7
"SHAWNEE, KS",5.9,4,28.5,33.0,-4.5,1.0,-25.0,20.5,2.9,0.0,0.0,0.0,1.0,-0.02,0.02,2.0,2.6
"SAINT PETERSBURG, FL",15.1,40,8.8,10.2,-1.5,3.0,-15.0,13.5,2.5,0.02,0.01,0.01,3.0,-0.6,0.61,3.1,2.6
"PORTLAND, ME",10.2,6,21.7,25.7,-4.0,2.0,-20.0,16.0,2.5,0.04,0.02,0.02,3.0,-0.6,0.62,3.1,2.6
"ATHENS, GA",15.4,12,8.4,9.8,-1.4,3.0,-15.0,13.6,2.5,0.02,0.01,0.01,3.0,-0.6,0.61,3.1,2.6
"FAIRBANKS, AK",10.5,4,21.3,25.0,-3.8,2.0,-20.0,16.2,2.5,0.01,0.01,0.0,3.0,-0.6,0.6,3.1,2.6
"EMMAUS, PA",9.1,1,56.0,67.5,-11.4,,,,,0.0,0.01,-0.01,2.0,-0.05,0.04,2.6,2.6
"ALEXANDRIA, VA",12.5,17,34.8,35.3,-0.5,1.0,-25.0,24.5,2.4,0.03,0.01,0.02,3.0,-0.6,0.62,3.1,2.6
"LA CROSSE, WI",6.3,4,44.5,45.0,-0.6,1.0,-25.0,24.4,2.4,0.05,0.02,0.03,3.0,-0.6,0.63,3.0,2.6
"TULSA, OK",16.4,60,17.9,22.2,-4.3,3.0,-15.0,10.7,3.0,0.0,0.0,0.0,1.0,-0.02,0.02,1.3,2.6
"YUMA, AZ",11.2,11,17.3,21.2,-3.9,3.0,-15.0,11.1,2.9,0.01,0.0,0.01,2.0,-0.05,0.06,1.5,2.6
"RAVENNA, OH",17.6,3,15.2,17.5,-2.3,3.0,-15.0,12.7,2.6,0.0,0.0,0.0,1.0,-0.02,0.02,2.3,2.6
"PHILADELPHIA, PA",33.0,446,41.3,41.4,-0.1,1.0,-25.0,24.9,2.4,0.04,0.03,0.02,3.0,-0.6,0.62,3.1,2.6
"SANTA ANA, CA",13.7,29,21.5,28.9,-7.4,2.0,-20.0,12.6,3.0,0.01,0.0,0.01,2.0,-0.05,0.06,1.2,2.6
"CHICAGO, IL",30.6,725,34.5,34.6,-0.1,1.0,-25.0,24.9,2.4,0.04,0.02,0.02,3.0,-0.6,0.62,3.1,2.6
"VENICE, FL",10.5,4,8.5,9.5,-1.0,3.0,-15.0,14.0,2.4,0.04,0.01,0.03,3.0,-0.6,0.63,3.0,2.6
"LITTLETON, CO",6.8,5,9.1,13.3,-4.2,3.0,-15.0,10.8,3.0,0.01,0.0,0.0,1.0,-0.02,0.02,1.3,2.6
"ROGERS, AR",11.3,8,9.3,12.2,-2.9,3.0,-15.0,12.1,2.8,0.0,0.0,0.0,1.0,-0.02,0.02,2.0,2.6
"EVANSVILLE, IN",13.4,18,23.2,29.6,-6.4,2.0,-20.0,13.6,2.9,0.0,0.0,0.0,1.0,-0.02,0.02,1.7,2.6
"SAINT PAUL, MN",21.0,61,45.0,44.9,0.1,1.0,-25.0,25.1,2.4,0.03,0.02,0.01,3.0,-0.6,0.61,3.1,2.6
"HARTFORD, CT",28.3,32,16.7,20.9,-4.2,3.0,-15.0,10.8,3.0,0.01,0.0,0.01,2.0,-0.05,0.06,1.2,2.5
"SYRACUSE, NY",30.2,45,6.6,7.3,-0.8,3.0,-15.0,14.2,2.4,0.02,0.01,0.01,3.0,-0.6,0.61,3.1,2.5
"BROOKLYN, NY",19.3,399,57.8,57.6,0.1,1.0,-25.0,25.1,2.4,0.08,0.05,0.03,3.0,-0.6,0.63,3.0,2.5
"TUSCALOOSA, AL",24.3,25,14.8,18.2,-3.4,3.0,-15.0,11.6,2.9,0.01,0.01,0.0,2.0,-0.05,0.05,1.6,2.5
"CHICO, CA",14.3,13,39.6,39.5,0.1,1.0,-25.0,25.1,2.4,0.07,0.04,0.04,3.0,-0.6,0.64,3.0,2.5
"GOLETA, CA",20.6,7,27.9,27.7,0.2,1.0,-25.0,25.2,2.4,0.06,0.01,0.04,3.0,-0.6,0.64,3.0,2.5
"SEMINOLE, FL",10.9,5,6.5,10.8,-4.2,3.0,-15.0,10.8,3.0,0.02,0.0,0.01,2.0,-0.05,0.06,1.0,2.5
"PITTSBURGH, PA",19.1,80,19.6,20.1,-0.6,3.0,-15.0,14.4,2.3,0.04,0.02,0.02,3.0,-0.6,0.62,3.1,2.5
"POCATELLO, ID",5.6,3,6.9,7.2,-0.2,3.0,-15.0,14.8,2.3,0.03,0.01,0.02,3.0,-0.6,0.62,3.1,2.5
"PEORIA, IL",25.9,30,13.2,16.4,-3.2,3.0,-15.0,11.8,2.8,0.01,0.0,0.01,2.0,-0.05,0.06,1.4,2.5
"BURLINGTON, VT",9.1,3,38.4,37.3,1.1,1.0,-25.0,26.1,2.3,0.09,0.06,0.03,3.0,-0.6,0.63,3.0,2.5
"RICHLAND, WA",9.4,5,12.9,15.2,-2.3,3.0,-15.0,12.7,2.7,0.01,0.01,0.0,2.0,-0.05,0.05,1.9,2.5
"PARADISE, NV",13.5,32,25.9,32.8,-6.8,2.0,-20.0,13.2,2.9,0.02,0.0,0.01,2.0,-0.05,0.06,1.0,2.4
"ERIE, PA",27.6,27,28.3,31.4,-3.1,1.0,-25.0,21.9,2.7,0.01,0.0,0.0,2.0,-0.05,0.05,1.7,2.4
"DENVER, CO",18.3,108,35.4,33.9,1.5,1.0,-25.0,26.5,2.2,0.04,0.02,0.02,3.0,-0.6,0.62,3.1,2.4
"MASSILLON, OH",14.6,7,18.0,20.3,-2.3,3.0,-15.0,12.7,2.6,0.0,0.0,0.0,1.0,-0.02,0.02,1.8,2.4
"BISMARCK, ND",8.5,4,48.8,55.4,-6.6,1.0,-25.0,18.4,3.1,0.01,0.0,0.01,1.0,-0.02,0.03,0.5,2.4
"GAINESVILLE, FL",15.5,16,11.7,11.7,0.0,3.0,-15.0,15.0,2.2,0.07,0.05,0.01,3.0,-0.6,0.61,3.1,2.4
"DOVER, DE",17.6,6,10.3,10.2,0.1,3.0,-15.0,15.1,2.2,0.02,0.0,0.02,3.0,-0.6,0.62,3.1,2.4
"CRANSTON, RI",18.5,15,25.5,30.6,-5.1,2.0,-20.0,14.9,2.7,0.0,0.0,0.0,1.0,-0.02,0.02,1.7,2.4
"SAINT CHARLES, MO",6.6,4,13.4,15.8,-2.4,3.0,-15.0,12.6,2.7,0.0,0.0,0.0,1.0,-0.02,0.02,1.7,2.4
"FORT LAUDERDALE, FL",27.1,54,4.4,4.2,0.1,3.0,-15.0,15.1,2.2,0.02,0.0,0.02,3.0,-0.6,0.62,3.1,2.4
"STATEN ISLAND, NY",12.6,39,31.7,34.8,-3.1,1.0,-25.0,21.9,2.7,0.0,0.0,0.0,1.0,-0.02,0.02,1.5,2.4
"SAINT CLOUD, MN",10.9,7,18.6,18.4,0.3,3.0,-15.0,15.3,2.2,0.02,0.01,0.01,3.0,-0.6,0.61,3.1,2.4
"VERO BEACH, FL",15.2,7,5.2,7.2,-2.0,3.0,-15.0,13.0,2.6,0.01,0.01,0.0,2.0,-0.05,0.05,1.8,2.4
"OLATHE, KS",5.5,6,31.2,35.1,-4.0,1.0,-25.0,21.0,2.8,0.01,0.0,0.0,1.0,-0.02,0.02,1.2,2.4
"JOHNSON CITY, TN",10.0,9,17.9,20.4,-2.6,3.0,-15.0,12.4,2.7,0.0,0.0,0.0,1.0,-0.02,0.02,1.5,2.4
"AVONDALE, AZ",12.7,8,18.4,21.1,-2.7,3.0,-15.0,12.3,2.7,0.01,0.0,0.01,2.0,-0.05,0.06,1.4,2.4
"REDMOND, OR",7.1,1,47.2,37.2,10.1,,,,,0.0,0.0,0.0,1.0,-0.02,0.02,2.4,2.4
"MCDONOUGH, GA",16.7,2,8.5,13.2,-4.7,,,,,0.0,0.0,0.0,1.0,-0.02,0.02,2.4,2.4
"BRONX, NY",25.1,289,31.4,29.0,2.4,1.0,-25.0,27.4,2.1,0.02,0.01,0.01,3.0,-0.6,0.61,3.1,2.4
"TUCSON, AZ",19.3,90,33.2,30.8,2.5,1.0,-25.0,27.5,2.1,0.04,0.02,0.02,3.0,-0.6,0.62,3.1,2.4
"MONROE, LA",27.0,17,26.8,29.4,-2.6,1.0,-25.0,22.4,2.7,0.01,0.0,0.01,2.0,-0.05,0.06,1.5,2.4
"LAS CRUCES, NM",14.6,13,6.6,6.0,0.6,3.0,-15.0,15.6,2.1,0.02,0.01,0.02,3.0,-0.6,0.62,3.1,2.4
"PROVINCETOWN, MA",20.0,1,75.5,83.7,-8.1,,,,,0.25,0.0,0.25,3.0,-0.6,0.85,2.4,2.4
"SCHERERVILLE, IN",5.6,2,27.8,13.6,14.2,,,,,0.0,0.0,0.0,1.0,-0.02,0.02,2.4,2.4
"SILVER SPRING, MD",13.2,10,8.3,7.7,0.6,3.0,-15.0,15.6,2.1,0.02,0.01,0.01,3.0,-0.6,0.61,3.1,2.4
"ANAHEIM, CA",16.3,49,15.6,18.1,-2.4,3.0,-15.0,12.6,2.7,0.01,0.0,0.01,2.0,-0.05,0.06,1.4,2.3
"FORT WORTH, TX",17.1,130,18.6,20.8,-2.2,3.0,-15.0,12.8,2.6,0.0,0.0,0.0,1.0,-0.02,0.02,1.5,2.3
"FLINT, MI",29.9,43,34.0,38.1,-4.1,1.0,-25.0,20.9,2.8,0.01,0.0,0.01,1.0,-0.02,0.03,0.9,2.3
"STOCKTON, CA",14.2,33,31.9,34.5,-2.6,1.0,-25.0,22.4,2.7,0.01,0.0,0.01,2.0,-0.05,0.06,1.4,2.3
"LAWRENCE, KS",9.1,5,29.2,32.7,-3.4,1.0,-25.0,21.6,2.7,0.02,0.01,0.01,2.0,-0.05,0.06,1.1,2.3
"APPLETON, WI",9.9,9,21.0,26.0,-5.0,2.0,-20.0,15.0,2.6,0.01,0.0,0.01,2.0,-0.05,0.06,1.4,2.3
"RIVERSIDE, CA",16.3,40,18.1,20.5,-2.4,3.0,-15.0,12.6,2.7,0.01,0.0,0.01,2.0,-0.05,0.06,1.3,2.3
"MONTGOMERY, AL",25.6,50,27.1,29.0,-2.0,1.0,-25.0,23.0,2.6,0.0,0.0,0.0,1.0,-0.02,0.02,1.5,2.3
"IRVINE, CA",11.3,17,17.0,16.2,0.8,3.0,-15.0,15.8,2.1,0.02,0.01,0.02,3.0,-0.6,0.62,3.1,2.3
"NASHUA, NH",9.7,6,11.7,14.0,-2.3,3.0,-15.0,12.7,2.6,0.0,0.0,0.0,1.0,-0.02,0.02,1.3,2.3
"NEWPORT, RI",17.9,5,15.9,15.1,0.9,3.0,-15.0,15.9,2.1,0.03,0.01,0.02,3.0,-0.6,0.62,3.1,2.3
"LITTLE ROCK, AR",30.1,50,24.1,28.4,-4.2,2.0,-20.0,15.8,2.5,0.0,0.0,0.0,1.0,-0.02,0.02,1.7,2.3
"NEW HAVEN, CT",34.7,42,17.6,16.6,1.0,3.0,-15.0,16.0,2.0,0.05,0.03,0.02,3.0,-0.6,0.62,3.1,2.3
"VANCOUVER, WA",11.6,19,29.7,31.2,-1.4,1.0,-25.0,23.6,2.5,0.01,0.0,0.01,2.0,-0.05,0.06,1.5,2.3
"BUFFALO, NY",31.2,102,6.0,4.8,1.1,3.0,-15.0,16.1,2.0,0.02,0.01,0.01,3.0,-0.6,0.61,3.1,2.3
"LEXINGTON, MA",8.1,3,13.9,12.8,1.1,3.0,-15.0,16.1,2.0,0.02,0.0,0.02,3.0,-0.6,0.62,3.1,2.3
"AUSTIN, TX",13.6,85,10.8,9.7,1.2,3.0,-15.0,16.2,2.0,0.02,0.01,0.01,3.0,-0.6,0.61,3.1,2.3
"SEATTLE, WA",14.5,74,40.3,36.8,3.5,1.0,-25.0,28.5,2.0,0.08,0.03,0.04,3.0,-0.6,0.64,3.0,2.3
"HONOLULU, HI",13.9,34,18.6,17.3,1.2,3.0,-15.0,16.2,2.0,0.03,0.02,0.01,3.0,-0.6,0.61,3.1,2.3
"SACRAMENTO, CA",24.8,102,27.4,23.5,3.9,1.0,-25.0,28.9,2.0,0.03,0.02,0.01,3.0,-0.6,0.61,3.1,2.3
"MIAMI, FL",30.5,113,4.1,2.8,1.3,3.0,-15.0,16.3,2.0,0.02,0.01,0.01,3.0,-0.6,0.61,3.1,2.3
"DETROIT, MI",26.3,262,39.4,41.4,-1.9,1.0,-25.0,23.1,2.6,0.01,0.0,0.01,2.0,-0.05,0.06,1.2,2.3
"CONWAY, AR",10.8,4,17.0,19.1,-2.1,3.0,-15.0,12.9,2.6,0.01,0.0,0.0,1.0,-0.02,0.02,1.2,2.2
"ANCHORAGE, AK",18.4,35,30.6,26.6,4.0,1.0,-25.0,29.0,2.0,0.02,0.01,0.01,3.0,-0.6,0.61,3.1,2.2
"DAVIS, CA",6.4,3,68.7,65.0,3.7,1.0,-25.0,28.7,2.0,0.27,0.21,0.07,3.0,-0.6,0.67,2.9,2.2
"SAINT LOUIS, MO",34.2,137,31.4,33.0,-1.7,1.0,-25.0,23.3,2.6,0.01,0.0,0.01,2.0,-0.05,0.06,1.2,2.2
"CORPUS CHRISTI, TX",17.0,40,18.0,19.4,-1.4,3.0,-15.0,13.6,2.5,0.0,0.0,0.0,1.0,-0.02,0.02,1.5,2.2
"ROANOKE, VA",17.7,17,18.4,20.1,-1.7,3.0,-15.0,13.3,2.5,0.01,0.0,0.01,2.0,-0.05,0.06,1.3,2.2
"ALBANY, NY",23.9,21,6.6,5.1,1.5,3.0,-15.0,16.5,1.9,0.02,0.01,0.01,3.0,-0.6,0.61,3.1,2.2
"CAMBRIDGE, MA",8.5,10,20.1,21.1,-1.0,2.0,-20.0,19.0,2.0,0.22,0.13,0.09,3.0,-0.6,0.69,2.8,2.2
"FREDERICK, MD",14.1,9,8.8,10.3,-1.5,3.0,-15.0,13.5,2.5,0.01,0.0,0.01,2.0,-0.05,0.06,1.4,2.2
"GLENDALE, AZ",16.7,42,26.5,30.7,-4.1,2.0,-20.0,15.9,2.5,0.01,0.01,0.01,2.0,-0.05,0.06,1.3,2.2
"MENOMONEE FALLS, WI",6.1,3,24.6,28.0,-3.4,2.0,-20.0,16.6,2.4,0.0,0.0,0.0,1.0,-0.02,0.02,1.7,2.2
"ROCHESTER, MN",11.1,10,33.5,28.9,4.6,1.0,-25.0,29.6,1.9,0.02,0.01,0.01,3.0,-0.6,0.61,3.1,2.2
"SPRINGFIELD, VA",11.1,4,19.2,21.1,-1.9,3.0,-15.0,13.1,2.6,0.0,0.0,0.0,1.0,-0.02,0.02,1.1,2.2
"LAFAYETTE, LA",13.9,16,12.6,14.4,-1.8,3.0,-15.0,13.2,2.6,0.02,0.01,0.01,2.0,-0.05,0.06,1.1,2.2
"EAST HONOLULU, HI",10.0,4,15.8,16.3,-0.5,3.0,-15.0,14.5,2.3,0.0,0.0,0.0,1.0,-0.02,0.02,1.8,2.2
"FOLSOM, CA",7.7,4,26.6,30.4,-3.9,2.0,-20.0,16.1,2.5,0.01,0.0,0.01,2.0,-0.05,0.06,1.4,2.2
"HURST, TX",6.4,5,10.2,10.3,-0.2,3.0,-15.0,14.8,2.2,0.0,0.0,0.0,1.0,-0.02,0.02,2.0,2.2
"HOUSTON, TX",21.3,401,13.5,14.6,-1.1,3.0,-15.0,13.9,2.4,0.01,0.0,0.01,2.0,-0.05,0.06,1.5,2.2
"CARLSBAD, CA",14.6,14,14.4,16.8,-2.4,3.0,-15.0,12.6,2.7,0.01,0.0,0.01,1.0,-0.02,0.03,0.7,2.2
"COLUMBUS, OH",19.5,170,30.5,30.8,-0.3,1.0,-25.0,24.7,2.4,0.01,0.0,0.01,2.0,-0.05,0.06,1.4,2.2
"ASHEVILLE, NC",8.8,9,5.9,7.4,-1.6,3.0,-15.0,13.4,2.5,0.02,0.0,0.01,2.0,-0.05,0.06,1.2,2.2
"WARREN, MI",13.5,26,24.1,28.6,-4.5,2.0,-20.0,15.5,2.6,0.01,0.0,0.01,1.0,-0.02,0.03,1.0,2.2
"NEW YORK, NY",22.9,1455,47.0,42.0,4.9,1.0,-25.0,29.9,1.9,0.05,0.03,0.02,3.0,-0.6,0.62,3.1,2.2
"GREEN BAY, WI",10.3,12,33.1,32.3,0.8,1.0,-25.0,25.8,2.3,0.01,0.01,0.0,2.0,-0.05,0.05,1.7,2.2
"ARLINGTON, TX",12.7,39,11.6,11.9,-0.3,3.0,-15.0,14.7,2.3,0.0,0.0,0.0,1.0,-0.02,0.02,1.8,2.2
"SPOKANE, WA",10.4,21,24.9,28.8,-3.9,2.0,-20.0,16.1,2.5,0.01,0.0,0.01,2.0,-0.05,0.06,1.2,2.2
"VIRGINIA BEACH, VA",8.8,28,17.9,18.7,-0.8,3.0,-15.0,14.2,2.4,0.01,0.0,0.01,2.0,-0.05,0.06,1.5,2.2
"ALBUQUERQUE, NM",15.4,70,11.8,9.7,2.1,3.0,-15.0,17.1,1.8,0.02,0.01,0.01,3.0,-0.6,0.61,3.1,2.1
"FAYETTEVILLE, NC",16.4,27,6.6,7.1,-0.5,3.0,-15.0,14.5,2.3,0.0,0.0,0.0,1.0,-0.02,0.02,1.6,2.1
"SAINT CHARLES, IL",0.0,0,44.8,,,,,,,0.0,0.01,0.0,2.0,-0.05,0.05,2.1,2.1
"ARLINGTON, VA",10.8,22,45.8,40.4,5.4,1.0,-25.0,30.4,1.8,0.04,0.01,0.03,3.0,-0.6,0.63,3.0,2.1
"OMAHA, NE",18.8,94,31.8,31.3,0.5,1.0,-25.0,25.5,2.3,0.0,0.0,0.0,1.0,-0.02,0.02,1.5,2.1
"CHAMPAIGN, IL",14.7,11,29.2,23.6,5.6,1.0,-25.0,30.6,1.8,0.04,0.03,0.01,3.0,-0.6,0.61,3.1,2.1
"MADISON, WI",10.3,23,48.4,42.9,5.4,1.0,-25.0,30.4,1.8,0.08,0.05,0.03,3.0,-0.6,0.63,3.0,2.1
"ROCHESTER, NY",34.7,104,4.8,2.6,2.3,3.0,-15.0,17.3,1.8,0.02,0.01,0.01,3.0,-0.6,0.61,3.1,2.1
"SAVANNAH, GA",19.0,33,5.8,3.6,2.2,3.0,-15.0,17.2,1.8,0.04,0.01,0.02,3.0,-0.6,0.62,3.1,2.1
"SCOTTS VALLEY, CA",10.0,1,18.0,11.3,6.8,,,,,0.01,0.01,0.0,2.0,-0.05,0.05,2.1,2.1
"KINGSTON, NY",10.7,3,5.3,3.1,2.2,3.0,-15.0,17.2,1.8,0.03,0.0,0.03,3.0,-0.6,0.63,3.0,2.1
"HARRISBURG, PA",25.5,13,14.1,15.8,-1.8,3.0,-15.0,13.2,2.5,0.02,0.01,0.02,2.0,-0.05,0.07,0.8,2.1
"SAN FRANCISCO, CA",18.0,107,57.3,51.8,5.5,1.0,-25.0,30.5,1.8,0.1,0.06,0.04,3.0,-0.6,0.64,3.0,2.1
"CLEVELAND, OH",27.8,154,24.2,27.7,-3.4,2.0,-20.0,16.6,2.4,0.01,0.0,0.01,2.0,-0.05,0.06,1.2,2.1
"BARBERTON, OH",14.3,6,14.7,14.3,0.4,3.0,-15.0,15.4,2.1,0.0,0.0,0.0,1.0,-0.02,0.02,2.0,2.1
"LAKE CHARLES, LA",20.3,16,19.3,20.5,-1.2,3.0,-15.0,13.8,2.4,0.02,0.0,0.01,2.0,-0.05,0.06,1.1,2.1
"MOBILE, AL",24.5,51,22.6,25.0,-2.5,2.0,-20.0,17.5,2.2,0.0,0.0,0.0,1.0,-0.02,0.02,1.7,2.1
"FEDERAL WAY, WA",16.5,16,17.0,18.1,-1.1,3.0,-15.0,13.9,2.4,0.0,0.0,0.0,1.0,-0.02,0.02,1.1,2.1
"JACKSON, MS",33.0,62,21.1,23.5,-2.3,2.0,-20.0,17.7,2.2,0.0,0.0,0.0,1.0,-0.02,0.02,1.7,2.1
"CHATTANOOGA, TN",16.4,36,21.5,23.8,-2.3,2.0,-20.0,17.7,2.2,0.01,0.0,0.0,2.0,-0.05,0.05,1.7,2.1
"AURORA, CO",15.4,48,12.1,12.1,0.0,3.0,-15.0,15.0,2.2,0.0,0.0,0.0,1.0,-0.02,0.02,1.7,2.1
"NEW ORLEANS, LA",33.5,174,35.2,29.0,6.2,1.0,-25.0,31.2,1.7,0.05,0.03,0.02,3.0,-0.6,0.62,3.0,2.1
"REDWOOD CITY, CA",13.9,11,28.6,22.4,6.2,1.0,-25.0,31.2,1.7,0.04,0.01,0.04,3.0,-0.6,0.64,3.0,2.1
"LINCOLN, NE",13.8,27,26.4,25.5,0.9,2.0,-20.0,20.9,1.7,0.02,0.01,0.01,3.0,-0.6,0.61,3.1,2.1
"PROVIDENCE, RI",27.2,49,24.4,23.4,1.0,2.0,-20.0,21.0,1.7,0.02,0.01,0.0,3.0,-0.6,0.6,3.1,2.1
"PROVO, UT",11.0,11,28.4,21.9,6.5,1.0,-25.0,31.5,1.7,0.04,0.02,0.02,3.0,-0.6,0.62,3.1,2.0
"GRESHAM, OR",19.1,18,16.7,16.9,-0.2,3.0,-15.0,14.8,2.3,0.01,0.0,0.01,2.0,-0.05,0.06,1.4,2.0
"DALLAS, TX",24.7,303,16.0,16.0,0.0,3.0,-15.0,15.0,2.2,0.0,0.0,0.0,1.0,-0.02,0.02,1.5,2.0
