City,Overall Score,Ridership,Safety,Acceleration,Network,Reach
"SIOUX FALLS, SD",1.5,1.9,2.2,0.6,1.4,1.5
"DUNWOODY, GA",1.3,1.1,1.8,,0.8,1.5
"PADUCAH, KY",1.2,1.4,1.1,0.5,1.4,1.4
"BELLEVUE, WA",1.6,1.7,2.3,0.5,2.1,1.4
"CHULA VISTA, CA",1.3,1.3,1.7,0.5,1.3,1.4
"MESA, AZ",1.3,1.8,1.7,0.5,1.4,1.4
"FAIRFIELD, CA",1.1,1.0,1.2,,0.8,1.4
"LIVERMORE, CA",1.3,1.1,1.8,,0.8,1.4
"TUPELO, MS",1.2,1.1,0.9,0.4,2.0,1.4
"PEORIA, AZ",1.3,1.0,1.7,0.4,2.1,1.4
"GULFPORT, MS",1.2,0.8,1.6,,0.8,1.4
"EL PASO, TX",1.2,1.3,1.8,0.4,1.2,1.4
"TRENTON, NJ",1.3,0.9,1.2,,1.6,1.4
"EUCLID, OH",1.3,1.5,2.2,0.5,1.2,1.4
"EAU CLAIRE, WI",1.8,1.7,2.4,0.6,3.0,1.4
"MANHATTAN, NY",3.4,4.5,2.8,2.9,2.9,1.4
"BOWLING GREEN, KY",1.3,1.3,2.0,0.4,1.2,1.4
"LAKEWOOD, CO",1.4,1.8,1.9,0.5,1.4,1.4
"FRESNO, CA",1.3,1.6,1.8,0.5,1.3,1.4
"WARWICK, RI",1.2,1.0,1.6,,0.8,1.3
"SIMI VALLEY, CA",1.4,1.0,1.6,,1.6,1.3
"O'FALLON, MO",1.4,1.8,2.5,0.3,1.1,1.3
"WEST JORDAN, UT",1.2,0.9,1.8,,0.8,1.3
"GILLETTE, WY",1.4,0.9,1.6,,1.6,1.3
"NEW ULM, MN",1.5,1.5,2.4,0.4,2.1,1.3
"KALISPELL, MT",1.5,1.5,2.3,0.4,2.1,1.3
"MERIDIAN, ID",1.2,0.9,1.8,,0.8,1.3
"HILO, HI",1.2,1.0,1.0,,1.6,1.3
"PORTSMOUTH, NH",1.4,1.6,2.1,0.6,1.2,1.3
"MONTEBELLO, CA",1.2,0.8,1.0,,1.6,1.3
"CONCORD, NH",1.3,1.4,2.2,0.5,1.3,1.3
"ROSWELL, GA",1.2,1.6,1.5,0.5,1.3,1.3
"TEMPE, AZ",1.6,2.2,1.7,0.6,2.2,1.3
"RENO, NV",1.5,1.7,1.9,0.6,2.2,1.3
"BEAVERTON, OR",1.6,1.8,2.3,0.5,2.1,1.3
"BURKE, VA",1.4,1.4,2.5,0.4,1.3,1.3
"CEDAR RAPIDS, IA",1.7,1.9,2.4,0.7,2.2,1.3
"FRANKLIN, TN",1.4,1.0,1.8,,1.6,1.3
"SILOAM SPRINGS, AR",2.3,1.2,2.2,3.0,1.3,1.3
"BUTTE, MT",1.4,1.2,1.6,,1.6,1.3
"CONCORD, NC",1.1,0.9,1.4,,0.8,1.3
"COLUMBIA, SC",1.3,1.5,1.1,0.4,2.0,1.3
"RICHFIELD, UT",1.5,0.9,1.4,,2.4,1.2
"SIOUX CITY, IA",1.3,1.5,2.1,0.4,1.3,1.2
"LONGMONT, CO",1.4,1.7,1.9,0.6,1.4,1.2
"NORTH LITTLE ROCK, AR",1.2,1.3,1.9,0.5,1.3,1.2
"CHESAPEAKE, VA",1.3,1.5,1.6,0.3,1.9,1.2
"KENNER, LA",1.3,0.9,1.6,,1.6,1.2
"SAN DIEGO, CA",3.0,2.1,3.3,3.8,2.2,1.2
"EDWARDSVILLE, IL",1.6,1.7,2.3,0.5,2.2,1.2
"NORMAN, OK",1.6,2.0,2.1,0.5,2.0,1.2
"YORBA LINDA, CA",1.2,1.0,1.8,,0.8,1.1
"ABERDEEN, SD",1.5,1.2,1.4,,2.4,1.1
"AUGUSTA, ME",1.1,1.2,0.9,0.3,2.0,1.1
"DULUTH, GA",1.1,1.4,1.8,0.3,1.1,1.1
"CHAPEL HILL, NC",1.5,1.7,2.1,0.5,2.2,1.1
"VIENNA, VA",1.6,1.5,2.6,0.5,2.1,1.1
"JONESBORO, AR",1.1,1.3,1.7,0.3,1.2,1.1
"SUN PRAIRIE, WI",2.0,1.4,3.2,1.9,2.4,1.0
"MIDDLETOWN, DE",1.3,0.9,1.8,,1.6,1.0
"SOLDOTNA, AK",1.5,0.7,1.2,,3.2,1.0
"CARSON CITY, NV",1.4,1.2,1.8,,1.6,1.0
"SUMMERVILLE, SC",1.2,1.5,1.2,0.3,2.0,1.0
"CROWN POINT, IN",1.3,1.2,1.4,,1.6,1.0
"SANTA MONICA, CA",3.1,2.6,3.7,2.6,2.9,1.0
"PARKERSBURG, WV",1.0,0.9,0.6,,1.6,1.0
"VILLA PARK, IL",1.6,1.4,1.8,,2.4,0.9
"WARREN, PA",1.5,1.2,2.6,0.3,2.2,0.9
"HENDERSON, NV",1.4,1.5,2.1,0.5,2.2,0.9
"BLOOMINGTON, IN",1.7,1.9,1.9,0.6,3.0,0.9
"METAIRIE, LA",1.3,1.1,1.8,,1.6,0.9
"ROCKFORD, IL",1.3,1.6,1.4,0.5,2.1,0.9
"HALES CORNERS, WI",1.3,1.1,1.8,,1.6,0.8
"CLARKSVILLE, TN",1.1,1.3,1.1,0.3,2.0,0.8
"DANVILLE, KY",0.9,0.7,1.4,,0.8,0.8
"FERNDALE, MI",3.0,2.0,3.4,3.6,2.8,0.8
"DECATUR, AL",1.2,0.9,1.6,,1.6,0.7
"THE VILLAGES, FL",1.1,0.9,1.0,,1.6,0.7
"SAN LUIS OBISPO, CA",1.7,2.0,2.3,0.7,3.0,0.7
"BOSSIER CITY, LA",1.2,1.3,1.9,0.3,1.9,0.7
"NARRAGANSETT, RI",1.4,1.3,2.6,0.4,2.1,0.7
"BUELLTON, CA",2.4,1.1,4.3,0.6,2.7,0.7
"CHEYENNE, WY",1.2,1.6,1.3,0.4,2.1,0.7
"ALEXANDRIA, MN",1.3,1.0,1.8,,1.6,0.7
"HILTON HEAD ISLAND, SC",1.2,1.0,0.6,,2.4,0.6
"BATAVIA, IL",1.4,1.2,1.6,,2.4,0.6
"WHEELING, WV",1.2,0.8,1.8,,1.6,0.5
"MOUNTAIN HOME, AR",0.9,1.0,1.8,0.2,1.0,0.5
"BURLINGAME, CA",1.3,1.4,1.8,,1.6,0.4
"BELLEVUE, NE",1.3,1.3,1.8,,1.6,0.4
"MELROSE, MA",1.3,1.5,2.3,0.4,2.1,0.4
"ESTERO, FL",1.2,0.9,2.0,,1.6,0.4
"WEST VALLEY CITY, UT",1.1,1.0,1.6,,1.6,0.3
"SAN ELIZARIO, TX",1.3,0.8,1.3,3.4,1.2,0.0
"NORTH KANSAS CITY, MO",1.3,1.2,0.4,3.2,1.6,0.0
"VINEYARD, UT",1.3,0.7,1.0,3.1,1.6,0.0
"BOULDER JUNCTION, WI",1.9,1.1,2.8,2.6,3.0,0.0
"BUCKHANNON, WV",0.9,0.6,0.2,2.3,1.6,0.0
"SOLVANG, CA",1.5,1.4,2.5,1.0,2.8,0.0
"MORRISTOWN, NJ",1.0,1.4,1.3,0.4,2.1,0.0
"MELBOURNE BEACH, FL",0.8,1.4,1.1,0.4,1.2,0.0
"MOORESVILLE, NC",0.7,1.2,0.8,0.3,1.1,0.0
"BARTLETT, TN",0.9,0.9,1.8,,0.8,0.0
"WALLED LAKE, MI",0.8,1.2,1.0,,0.8,0.0
"PELHAM MANOR, NY",0.7,1.1,1.0,,0.8,0.0
"LEBANON, OH",0.9,1.3,0.8,,1.6,0.0
"CENTERVILLE, OH",0.9,1.2,0.8,,1.6,0.0
"HORN LAKE, MS",0.8,0.9,0.8,,1.6,0.0
"SPRINGBORO, OH",0.7,1.2,0.8,,0.8,0.0
"MILFORD, NH",0.6,0.9,0.6,,0.8,0.0
"CLERMONT, FL",0.6,0.8,0.6,,0.8,0.0
"WESTLAKE VILLAGE, CA",0.8,1.2,0.4,,1.6,0.0
"OLIVE BRANCH, MS",0.7,0.9,0.4,,1.6,0.0
"BRIELLE, NJ",0.6,1.0,0.4,,0.8,0.0
"TATAMY, PA",0.5,0.9,0.2,,0.8,0.0
"FOXBOROUGH, MA",0.5,0.9,0.2,,0.8,0.0
"HOOKSETT, NH",0.5,0.8,0.2,,0.8,0.0
"PITTSFORD, NY",0.4,0.9,0.0,,0.8,0.0
