City,Overall Score,Ridership,Safety,Acceleration,Network,Reach,Good Weather Percentile
"LITTLE ROCK, AR",1.7,1.4,1.9,0.6,2.2,2.3,88
"NEW HAVEN, CT",1.6,1.7,2.1,0.6,1.4,2.3,70
"VANCOUVER, WA",1.7,1.7,2.1,0.5,2.1,2.3,66
"BUFFALO, NY",2.5,1.8,1.9,2.8,1.3,2.3,99
"AUSTIN, TX",2.9,2.2,2.5,3.7,1.5,2.3,86
"SEATTLE, WA",2.3,3.2,2.1,0.7,3.1,2.3,80
"HONOLULU, HI",1.6,2,1.8,0.5,1.3,2.3,45
"SACRAMENTO, CA",1.7,2.1,1.5,0.6,2.2,2.3,11
"MIAMI, FL",1.4,1.4,1.4,0.5,1.3,2.3,79
"DETROIT, MI",1.6,1.7,1.3,0.7,2.1,2.3,69
"ANCHORAGE, AK",1.8,2.1,1.9,0.6,2.2,2.2,86
"DAVIS, CA",2.4,3,2.5,0.7,3.8,2.2,1
"SAINT LOUIS, MO",1.7,1.9,1.6,0.6,2.1,2.2,93
"CORPUS CHRISTI, TX",1.3,1.4,1.6,0.4,1.1,2.2,75
"ROANOKE, VA",1.6,1.6,2,0.6,1.5,2.2,56
"ALBANY, NY",1.4,1,1.6,,0.8,2.2,91
"CAMBRIDGE, MA",2.2,3.7,2.1,0.6,2.2,2.2,98
"FREDERICK, MD",1.6,1.5,2.1,0.6,1.4,2.2,49
"GLENDALE, AZ",1.6,1.6,1.7,0.4,2.1,2.2,12
"ROCHESTER, MN",1.7,1.4,1.6,,1.6,2.2,58
"LAFAYETTE, LA",1.3,1.1,1,,0.8,2.2,50
"EAST HONOLULU, HI",1.4,1.1,,,0.8,2.2,45
"FOLSOM, CA",1.8,1.5,2.1,0.6,2.3,2.2,10
"HOUSTON, TX",1.4,1.6,1.4,0.6,1.3,2.2,89
"CARLSBAD, CA",1.3,1.1,1,,0.8,2.2,28
"COLUMBUS, OH",1.8,2.1,1.9,0.6,2.2,2.2,71
"ASHEVILLE, NC",1.5,1.5,1.8,0.6,1.4,2.2,70
"WARREN, MI",1.5,1.6,1.7,0.3,1.9,2.2,69
"NEW YORK, NY",1.9,1.5,1.6,,2.4,2.2,65
"GREEN BAY, WI",1.8,1.8,2.3,0.6,2.1,2.2,82
"ARLINGTON, TX",1.3,1.4,1.4,0.3,1.2,2.2,38
"SPOKANE, WA",1.7,1.7,1.7,0.6,2.2,2.2,58
"VIRGINIA BEACH, VA",1.4,1.3,1.2,,0.8,2.2,92
"ALBUQUERQUE, NM",1.6,2.2,1.7,0.6,1.5,2.1,38
"FAYETTEVILLE, NC",1.3,1.4,1.4,0.3,1.2,2.1,48
"ARLINGTON, VA",3.4,2.3,4.4,2.6,3,2.1,93
"OMAHA, NE",1.7,1.8,2,0.5,2.1,2.1,83
"CHAMPAIGN, IL",1.8,1.9,2.1,0.5,2.1,2.1,73
"MADISON, WI",3.2,2.9,3.4,2,3.1,2.1,83
"ROCHESTER, NY",2.6,1.7,1.7,3.5,1.4,2.1,99
"SAVANNAH, GA",1.4,1.8,1.4,0.4,1.2,2.1,59
"SAN FRANCISCO, CA",2.2,3.3,2.1,0.7,3,2.1,57
"CLEVELAND, OH",1.7,1.8,1.7,0.7,2.2,2.1,87
"LAKE CHARLES, LA",1.2,1,0.8,,0.8,2.1,30
"MOBILE, AL",1.3,1.3,0.9,0.4,1.9,2.1,55
"FEDERAL WAY, WA",1.9,1,2.4,2.4,1.6,2.1,92
"JACKSON, MS",1.2,1.2,1.2,0.3,1.1,2.1,36
"CHATTANOOGA, TN",1.6,1.5,1.5,0.6,2.2,2.1,77
"AURORA, CO",1.5,1.8,1.7,0.5,1.4,2.1,74
"NEW ORLEANS, LA",3,2.5,1.6,4,2.1,2.1,64
"REDWOOD CITY, CA",1.7,1.9,2.3,0.4,2,2.1,26
"LINCOLN, NE",2.7,2,2.2,2.4,2.2,2.1,49
"PROVIDENCE, RI",3,1.8,2.1,4.3,2.1,2.1,99
"PROVO, UT",1.8,1.8,2.1,0.6,2.2,2,25
"GRESHAM, OR",1.5,1.1,1.4,,1.6,2,83
"DALLAS, TX",1.4,1.5,1.6,0.5,1.3,2,82
"WASHINGTON, DC",3.1,3.5,2.9,2.4,2.2,2,93
"NEWARK, NJ",1.2,0.8,1,,0.8,2,97
"HUNTSVILLE, AL",2.8,1.5,1.8,4.8,1.3,2,30
"JACKSON, TN",1.3,0.8,1.6,,0.8,2,50
"FREMONT, CA",1.5,1.8,1.9,0.5,1.3,2,27
"SHREVEPORT, LA",1.2,1.3,1.2,0.4,1.2,2,42
"SAN ANTONIO, TX",1.5,1.5,1.2,0.6,2.1,2,83
"BANGOR, ME",1.6,1.4,2.3,0.4,2.1,2,96
"LAS VEGAS, NV",1.6,1.6,1.6,0.5,2.1,2,21
"STERLING HEIGHTS, MI",1.5,1.6,2.2,0.3,1.3,2,41
"SOUTHAVEN, MS",1.5,0.9,1.6,,1.6,2,89
"MACON, GA",1.1,1.2,0.9,0.4,1.2,2,41
"EUGENE, OR",3.4,2.7,3.8,3.8,2.3,2,86
"TOLEDO, OH",1.4,1.6,1.4,0.5,1.3,2,60
"HOOVER, AL",1.4,1,1.6,,0.8,2,38
"BILLINGS, MT",2.4,1.7,1.9,1.8,2.1,2,71
"SAN JOSE, CA",1.6,2,1.9,0.7,1.4,2,26
"LEXINGTON, KY",1.5,1.7,1.7,0.6,1.3,2,72
"SOMERVILLE, MA",1.9,3.2,2.3,0.6,1.4,2,98
"GARY, IN",1.7,1.1,1.2,,2.4,2,76
"WILMINGTON, DE",1.6,1.5,2.1,0.5,2.1,2,63
"MILWAUKEE, WI",2.8,1.9,2.5,3,2.2,2,95
"MOUNT VERNON, NY",1.4,1.1,1.8,,0.8,2,96
"MEMPHIS, TN",2.8,1.5,1.7,5,1.4,1.9,89
"FARGO, ND",1.9,1.9,2.1,0.6,3,1.9,79
"BIRMINGHAM, AL",1.5,1.4,1.4,0.5,2.1,1.9,69
"GREAT FALLS, MT",1.6,1.1,1.8,,1.6,1.9,54
"CAMDEN, NJ",1.5,1.3,2.1,0.4,2,1.9,95
"LOS ANGELES, CA",1.7,2.1,1.8,0.6,2.1,1.9,6
"LOUISVILLE, KY",1.4,1.6,1.5,0.6,1.4,1.9,92
