Overall Score,Ridership,Safety,Acceleration,Network,Reach,Value,City Name,State
1.7,1.4,1.9,0.6,2.2,2.3,88,LITTLE ROCK,AR
1.6,1.7,2.1,0.6,1.4,2.3,70,NEW HAVEN,CT
1.7,1.7,2.1,0.5,2.1,2.3,66,VANCOUVER,WA
2.5,1.8,1.9,2.8,1.3,2.3,99,BUFFALO,NY
2.9,2.2,2.5,3.7,1.5,2.3,86,AUSTIN,TX
2.3,3.2,2.1,0.7,3.1,2.3,80,SEATTLE,WA
1.6,2.0,1.8,0.5,1.3,2.3,45,HONOLULU,HI
1.7,2.1,1.5,0.6,2.2,2.3,11,SACRAMENTO,CA
1.4,1.4,1.4,0.5,1.3,2.3,79,MIAMI,FL
1.6,1.7,1.3,0.7,2.1,2.3,69,DETROIT,MI
1.8,2.1,1.9,0.6,2.2,2.2,86,ANCHORAGE,AK
2.4,3.0,2.5,0.7,3.8,2.2,1,DAVIS,CA
1.7,1.9,1.6,0.6,2.1,2.2,93,SAINT LOUIS,MO
1.3,1.4,1.6,0.4,1.1,2.2,75,CORPUS CHRISTI,TX
1.6,1.6,2.0,0.6,1.5,2.2,56,ROANOKE,VA
1.4,1.0,1.6,,0.8,2.2,91,ALBANY,NY
2.2,3.7,2.1,0.6,2.2,2.2,98,CAMBRIDGE,MA
1.6,1.5,2.1,0.6,1.4,2.2,49,FREDERICK,MD
1.6,1.6,1.7,0.4,2.1,2.2,12,GLENDALE,AZ
1.7,1.4,1.6,,1.6,2.2,58,ROCHESTER,MN
1.3,1.1,1.0,,0.8,2.2,50,LAFAYETTE,LA
1.4,1.1,,,0.8,2.2,45,EAST HONOLULU,HI
1.8,1.5,2.1,0.6,2.3,2.2,10,FOLSOM,CA
1.4,1.6,1.4,0.6,1.3,2.2,89,HOUSTON,TX
1.3,1.1,1.0,,0.8,2.2,28,CARLSBAD,CA
1.8,2.1,1.9,0.6,2.2,2.2,71,COLUMBUS,OH
1.5,1.5,1.8,0.6,1.4,2.2,70,ASHEVILLE,NC
1.5,1.6,1.7,0.3,1.9,2.2,69,WARREN,MI
1.9,1.5,1.6,,2.4,2.2,65,NEW YORK,NY
1.8,1.8,2.3,0.6,2.1,2.2,82,GREEN BAY,WI
1.3,1.4,1.4,0.3,1.2,2.2,38,ARLINGTON,TX
1.7,1.7,1.7,0.6,2.2,2.2,58,SPOKANE,WA
1.4,1.3,1.2,,0.8,2.2,92,VIRGINIA BEACH,VA
1.6,2.2,1.7,0.6,1.5,2.1,38,ALBUQUERQUE,NM
1.3,1.4,1.4,0.3,1.2,2.1,48,FAYETTEVILLE,NC
3.4,2.3,4.4,2.6,3.0,2.1,93,ARLINGTON,VA
1.7,1.8,2.0,0.5,2.1,2.1,83,OMAHA,NE
1.8,1.9,2.1,0.5,2.1,2.1,73,CHAMPAIGN,IL
3.2,2.9,3.4,2.0,3.1,2.1,83,MADISON,WI
2.6,1.7,1.7,3.5,1.4,2.1,99,ROCHESTER,NY
1.4,1.8,1.4,0.4,1.2,2.1,59,SAVANNAH,GA
2.2,3.3,2.1,0.7,3.0,2.1,57,SAN FRANCISCO,CA
1.7,1.8,1.7,0.7,2.2,2.1,87,CLEVELAND,OH
1.2,1.0,0.8,,0.8,2.1,30,LAKE CHARLES,LA
1.3,1.3,0.9,0.4,1.9,2.1,55,MOBILE,AL
1.9,1.0,2.4,2.4,1.6,2.1,92,FEDERAL WAY,WA
1.2,1.2,1.2,0.3,1.1,2.1,36,JACKSON,MS
1.6,1.5,1.5,0.6,2.2,2.1,77,CHATTANOOGA,TN
1.5,1.8,1.7,0.5,1.4,2.1,74,AURORA,CO
3.0,2.5,1.6,4.0,2.1,2.1,64,NEW ORLEANS,LA
1.7,1.9,2.3,0.4,2.0,2.1,26,REDWOOD CITY,CA
2.7,2.0,2.2,2.4,2.2,2.1,49,LINCOLN,NE
3.0,1.8,2.1,4.3,2.1,2.1,99,PROVIDENCE,RI
1.8,1.8,2.1,0.6,2.2,2.0,25,PROVO,UT
1.5,1.1,1.4,,1.6,2.0,83,GRESHAM,OR
1.4,1.5,1.6,0.5,1.3,2.0,82,DALLAS,TX
3.1,3.5,2.9,2.4,2.2,2.0,93,WASHINGTON,DC
1.2,0.8,1.0,,0.8,2.0,97,NEWARK,NJ
2.8,1.5,1.8,4.8,1.3,2.0,30,HUNTSVILLE,AL
1.3,0.8,1.6,,0.8,2.0,50,JACKSON,TN
1.5,1.8,1.9,0.5,1.3,2.0,27,FREMONT,CA
1.2,1.3,1.2,0.4,1.2,2.0,42,SHREVEPORT,LA
1.5,1.5,1.2,0.6,2.1,2.0,83,SAN ANTONIO,TX
1.6,1.4,2.3,0.4,2.1,2.0,96,BANGOR,ME
1.6,1.6,1.6,0.5,2.1,2.0,21,LAS VEGAS,NV
1.5,1.6,2.2,0.3,1.3,2.0,41,STERLING HEIGHTS,MI
1.5,0.9,1.6,,1.6,2.0,89,SOUTHAVEN,MS
1.1,1.2,0.9,0.4,1.2,2.0,41,MACON,GA
3.4,2.7,3.8,3.8,2.3,2.0,86,EUGENE,OR
1.4,1.6,1.4,0.5,1.3,2.0,60,TOLEDO,OH
1.4,1.0,1.6,,0.8,2.0,38,HOOVER,AL
2.4,1.7,1.9,1.8,2.1,2.0,71,BILLINGS,MT
1.6,2.0,1.9,0.7,1.4,2.0,26,SAN JOSE,CA
1.5,1.7,1.7,0.6,1.3,2.0,72,LEXINGTON,KY
1.9,3.2,2.3,0.6,1.4,2.0,98,SOMERVILLE,MA
1.7,1.1,1.2,,2.4,2.0,76,GARY,IN
1.6,1.5,2.1,0.5,2.1,2.0,63,WILMINGTON,DE
2.8,1.9,2.5,3.0,2.2,2.0,95,MILWAUKEE,WI
1.4,1.1,1.8,,0.8,2.0,96,MOUNT VERNON,NY
2.8,1.5,1.7,5.0,1.4,1.9,89,MEMPHIS,TN
1.9,1.9,2.1,0.6,3.0,1.9,79,FARGO,ND
1.5,1.4,1.4,0.5,2.1,1.9,69,BIRMINGHAM,AL
1.6,1.1,1.8,,1.6,1.9,54,GREAT FALLS,MT
1.5,1.3,2.1,0.4,2.0,1.9,95,CAMDEN,NJ
1.7,2.1,1.8,0.6,2.1,1.9,6,LOS ANGELES,CA
1.4,1.6,1.5,0.6,1.4,1.9,92,LOUISVILLE,KY
1.0,0.9,0.4,,0.8,1.9,69,WATERBURY,CT
1.5,1.6,1.9,0.6,1.4,1.9,85,RALEIGH,NC
1.1,0.8,0.8,,0.8,1.9,8,SAN BERNARDINO,CA
1.3,1.5,0.9,0.4,2.0,1.9,65,BATON ROUGE,LA
1.5,1.3,1.2,,1.6,1.9,36,JOLIET,IL
1.7,1.5,2.2,0.6,2.2,1.9,8,REDLANDS,CA
1.6,1.0,1.8,,1.6,1.9,37,NAPA,CA
1.3,0.9,1.6,,0.8,1.9,11,ROSWELL,NM
1.5,1.8,1.9,0.6,1.4,1.9,97,GRAND RAPIDS,MI
1.0,0.7,0.8,,0.8,1.9,56,PATERSON,NJ
1.3,1.4,1.6,0.4,1.2,1.9,88,STAMFORD,CT
1.4,1.4,2.0,0.4,1.2,1.9,95,WORCESTER,MA
1.4,1.7,1.4,0.6,1.5,1.9,94,DAYTON,OH
2.5,1.9,1.5,3.3,1.4,1.9,98,INDIANAPOLIS,IN
1.5,2.1,1.8,0.5,1.2,1.8,65,JERSEY CITY,NJ
1.4,1.7,1.4,0.6,1.4,1.8,81,CHARLOTTE,NC
2.3,1.6,1.6,2.7,1.3,1.8,32,ORLANDO,FL
1.6,1.5,2.5,0.5,1.3,1.8,17,COLUMBIA,MD
1.2,1.0,1.2,,0.8,1.8,63,IDAHO FALLS,ID
1.4,1.4,1.9,0.5,1.3,1.8,39,WINSTON-SALEM,NC
1.3,1.5,1.3,0.6,1.4,1.8,36,OKLAHOMA CITY,OK
3.0,2.0,2.4,3.1,2.9,1.8,52,CARMEL,IN
3.1,1.5,2.2,5.0,2.3,1.8,46,FAYETTEVILLE,AR
1.6,1.6,2.1,0.4,2.1,1.8,75,RACINE,WI
1.7,1.8,2.3,0.5,2.1,1.8,44,OVERLAND PARK,KS
1.4,1.4,1.9,0.4,1.3,1.8,74,MANCHESTER,NH
2.7,2.6,2.0,3.4,1.3,1.8,98,BOSTON,MA
1.5,1.5,1.0,,1.6,1.8,16,FISHERS,IN
1.2,0.9,1.2,,0.8,1.8,90,SPRINGFIELD,MA
3.2,2.8,3.0,3.4,2.3,1.8,84,MINNEAPOLIS,MN
1.5,1.9,1.6,0.6,1.3,1.8,43,ATLANTA,GA
1.4,1.4,2.2,0.3,1.2,1.8,70,LOWELL,MA
1.7,1.6,2.4,0.4,2.1,1.8,31,KEARNEY,NE
1.7,1.7,2.4,0.5,2.1,1.8,95,BLOOMINGTON,MN
1.6,1.8,1.7,0.4,2.1,1.8,18,CHANDLER,AZ
