City,ACS Bike-to-Work Mode Share,Land Area, Population ,ACS Target,ACS Normalized Score,ACS Ridership Points,SMS Recreation Riding,SMS Points,Community Survey Ridership Score,Total ridership score
"REXBURG, ID",4.10%,9.8,"27,369",26.30%,11.5,0.6,12.50%,2.1,2.4,1.5
"LARAMIE, WY",5.70%,17.7,"32,104",26.30%,20.0,1.0,17.20%,2.9,2.8,2.1
"OLYMPIA, WA",4.00%,17.8,"49,928",26.30%,14.1,0.7,16.20%,2.7,2.5,1.9
"KEENE, NH",2.90%,37.2,"23,204",17.20%,15.7,0.8,11.30%,1.9,2.3,1.5
"STEAMBOAT SPRINGS, CO",8.00%,10.1,"12,520",26.30%,22.9,1.1,13.10%,2.2,3.1,2.0
"CLEMSON, SC",2.80%,7.4,"15,375",37.00%,7.4,0.4,10.70%,1.8,2.1,1.3
"NORTHAMPTON, MA",5.00%,34.2,"28,548",17.20%,25.7,1.3,13.50%,2.3,2.5,1.9
"ATHENS, OH",6.60%,9.8,"24,486",26.30%,18.7,0.9,11.10%,1.8,2.4,1.6
"MILL VALLEY, CA",5.60%,4.8,"14,392",37.00%,12.7,0.6,19.50%,3.2,2.9,2.1
"MURFREESBORO, TN",0.50%,55.3,"126,188",12.60%,3.6,0.2,14.30%,2.4,2.0,1.4
"FALMOUTH, MA",4.80%,2.1,"3,619",45.10%,9.4,0.5,12.20%,2.0,2.7,1.5
"WINTHROP, WA",4.70%,0.9,411,51.00%,8.7,0.4,11.50%,1.9,,0.9
"REDDING, CA",1.20%,59.6,"91,236",12.60%,9.7,0.5,13.80%,2.3,2.4,1.6
"WICHITA, KS",0.40%,159.3,"389,054",6.40%,4.8,0.2,18.10%,3.0,2.5,1.8
"BOULDER, CO",15.30%,24.7,"106,271",20.80%,64.5,3.2,17.90%,3.0,3.4,3.2
"SANTA BARBARA, CA",5.40%,19.5,"91,443",26.30%,20.2,1.0,15.60%,2.6,2.7,2.0
