City,ACS Bike-to-Work Mode Share,Land Area, Population ,ACS Target,ACS Normalized Score,ACS Ridership Points,SMS Recreation Riding,SMS Points,Community Survey Ridership Score,Total ridership score
"TOLEDO, OH",0.20%,80.7,"279,455",10.70%,1.7,0.1,16.00%,2.7,2.5,1.6
"REDMOND, WA",1.40%,16.3,"60,712",26.30%,4.9,0.2,17.80%,3.0,2.4,1.8
"HICKORY, NC",0.30%,29.7,"40,157",20.80%,1.6,0.1,11.90%,2.0,,0.8
"HOOVER, AL",0.00%,47.2,"84,150",12.60%,0.2,0.0,15.30%,2.5,,1.0
"BILLINGS, MT",0.70%,43.4,"109,082",12.60%,4.1,0.2,16.30%,2.7,2.4,1.7
"SAN JOSE, CA",1.00%,176.5,"1,023,031",6.40%,14.4,0.7,16.90%,2.8,3.0,2.0
"PINE BLUFF, AR",0.00%,44.6,"44,509",12.60%,0.0,0.0,11.30%,1.9,,0.8
"LEXINGTON, KY",0.80%,283.6,"315,109",5.70%,13.9,0.7,14.90%,2.5,2.3,1.7
"SOMERVILLE, MA",13.40%,4.1,"79,983",37.00%,29.9,1.5,29.90%,5.0,3.2,3.2
"GARY, IN",0.20%,49.9,"77,416",12.60%,1.2,0.1,15.50%,2.6,,1.1
"WILMINGTON, DE",1.00%,10.9,"71,276",26.30%,2.9,0.1,15.00%,2.5,2.3,1.5
"MILWAUKEE, WI",1.20%,96.1,"599,086",10.70%,10.9,0.5,16.30%,2.7,2.9,1.9
"MOUNT VERNON, NY",0.20%,4.4,"68,671",37.00%,0.5,0.0,15.90%,2.6,,1.1
"MEMPHIS, TN",0.20%,315.1,"654,723",5.70%,4.3,0.2,13.60%,2.3,2.4,1.5
"FARGO, ND",1.00%,48.8,"118,099",12.60%,6.4,0.3,18.60%,3.1,2.7,1.9
"BIRMINGHAM, AL",0.30%,146.1,"212,265",7.80%,4.3,0.2,13.30%,2.2,2.2,1.4
"GREAT FALLS, MT",0.50%,21.8,"59,144",20.80%,2.0,0.1,15.80%,2.6,,1.1
"CAMDEN, NJ",0.60%,8.9,"75,550",26.30%,1.7,0.1,13.00%,2.2,1.8,1.3
"LENEXA, KS",0.20%,34.1,"52,030",17.20%,0.9,0.0,18.90%,3.1,2.2,1.7
"LOS ANGELES, CA",1.40%,468.7,"3,949,776",5.70%,24.6,1.2,16.20%,2.7,2.8,2.1
"LOUISVILLE, KY",0.40%,325.2,"615,478",5.70%,7.3,0.4,14.70%,2.4,2.4,1.6
"WATERBURY, CT",0.00%,28.5,"109,250",20.80%,0.0,0.0,13.90%,2.3,,0.9
"RALEIGH, NC",0.50%,142.9,"449,477",7.80%,5.7,0.3,14.90%,2.5,2.7,1.6
"SAN BERNARDINO, CA",0.50%,59.2,"215,252",12.60%,3.7,0.2,11.40%,1.9,,0.8
"BATON ROUGE, LA",0.70%,76.9,"227,549",11.50%,6.1,0.3,14.30%,2.4,2.3,1.5
"JOLIET, IL",0.10%,62.1,"148,172",11.50%,0.9,0.0,18.70%,3.1,,1.3
"REDLANDS, CA",1.10%,36.1,"70,765",17.20%,5.8,0.3,13.30%,2.2,2.5,1.5
"NAPA, CA",1.00%,17.8,"79,722",26.30%,3.5,0.2,14.40%,2.4,,1.0
"ROSWELL, NM",0.40%,29.9,"48,163",20.80%,2.0,0.1,12.50%,2.1,,0.9
"GRAND RAPIDS, MI",1.20%,44.4,"195,355",12.60%,7.4,0.4,17.00%,2.8,2.7,1.8
"PATERSON, NJ",0.00%,8.4,"147,890",26.30%,0.0,0.0,9.80%,1.6,,0.7
"STAMFORD, CT",0.50%,37.6,"128,851",17.20%,3.0,0.2,14.60%,2.4,2.0,1.4
"WORCESTER, MA",0.40%,37.4,"184,743",17.20%,2.4,0.1,13.60%,2.3,2.2,1.4
"DAYTON, OH",0.50%,55.7,"140,939",12.60%,3.8,0.2,16.30%,2.7,2.5,1.7
"INDIANAPOLIS, IN",0.50%,361.4,"853,431",5.70%,8.8,0.4,17.80%,3.0,2.9,1.9
"GREENVILLE, SC",0.80%,28.7,"64,061",20.80%,3.7,0.2,13.90%,2.3,2.4,1.5
"JERSEY CITY, NJ",1.00%,14.8,"265,932",26.30%,3.4,0.2,22.60%,3.8,2.6,2.1
"CHARLOTTE, NC",0.30%,297.7,"826,060",5.70%,4.5,0.2,15.80%,2.6,2.7,1.7
"ORLANDO, FL",0.70%,102.4,"269,414",7.80%,6.6,0.3,13.80%,2.3,2.6,1.6
"COLUMBIA, MD",0.20%,31.9,"103,170",17.20%,1.1,0.1,16.30%,2.7,2.1,1.5
"IDAHO FALLS, ID",0.90%,22.3,"59,414",20.80%,3.7,0.2,14.00%,2.3,,1.0
"WINSTON-SALEM, NC",0.30%,132.4,"240,193",7.80%,3.0,0.2,13.30%,2.2,2.2,1.4
"OKLAHOMA CITY, OK",0.20%,606.4,"629,191",5.70%,3.4,0.2,14.50%,2.4,2.4,1.5
"CARMEL, IN",0.20%,47.5,"88,595",12.60%,1.2,0.1,20.80%,3.5,2.8,2.0
"FAYETTEVILLE, AR",1.30%,53.9,"81,889",12.60%,9.6,0.5,12.70%,2.1,2.5,1.5
"RACINE, WI",0.30%,15.5,"77,740",26.30%,1.1,0.1,16.80%,2.8,2.2,1.6
"OVERLAND PARK, KS",0.10%,74.8,"186,147",11.50%,1.0,0.1,19.90%,3.3,2.3,1.8
"MANCHESTER, NH",0.40%,33.1,"110,601",17.20%,2.3,0.1,14.70%,2.5,2.0,1.4
"BOSTON, MA",4.40%,48.3,"669,158",12.60%,28.8,1.4,21.80%,3.6,3.0,2.6
"BETHEL, CT",0.90%,4.1,"9,780",37.00%,2.0,0.1,14.10%,2.3,1.6,1.3
"FISHERS, IN",0.10%,33.6,"87,557",17.20%,0.6,0.0,22.60%,3.8,,1.5
"SPRINGFIELD, MA",0.40%,31.9,"154,613",17.20%,1.8,0.1,12.80%,2.1,,0.9
"MINNEAPOLIS, MN",5.50%,54.0,"411,452",12.60%,39.7,2.0,19.60%,3.3,3.3,2.8
"SAN JUAN, PR",0.80%,39.5,"341,657",17.20%,4.5,0.2,,,,0.1
"ATLANTA, GA",1.20%,133.2,"465,230",7.80%,13.7,0.7,15.80%,2.6,2.8,1.9
"LOWELL, MA",0.30%,13.6,"110,964",26.30%,0.9,0.0,13.70%,2.3,2.2,1.4
"KEARNEY, NE",0.70%,12.8,"33,082",26.30%,2.1,0.1,17.30%,2.9,2.2,1.6
"BLOOMINGTON, MN",0.30%,34.7,"85,417",17.20%,1.6,0.1,17.30%,2.9,2.4,1.7
"CHANDLER, AZ",0.90%,64.4,"245,160",11.50%,7.1,0.4,17.40%,2.9,2.3,1.8
"RICHARDSON, TX",0.30%,28.6,"111,055",20.80%,1.2,0.1,13.80%,2.3,2.3,1.4
"KANSAS CITY, MO",0.30%,315.0,"476,974",5.70%,5.0,0.2,18.20%,3.0,2.5,1.8
"KENT, WA",0.40%,28.6,"126,561",20.80%,1.9,0.1,15.10%,2.5,,1.0
"DES MOINES, IA",0.40%,80.9,"214,778",10.70%,3.5,0.2,18.00%,3.0,2.8,1.8
"NORWALK, CT",0.60%,22.9,"88,537",20.80%,2.3,0.1,14.90%,2.5,,1.0
"URBANA, IL",8.90%,11.7,"42,141",26.30%,26.4,1.3,16.70%,2.8,2.7,2.2
"ALMA, MI",0.60%,5.9,"9,108",37.00%,1.5,0.1,12.80%,2.1,,0.9
"SALEM, OR",1.20%,47.9,"163,654",12.60%,7.9,0.4,15.20%,2.5,2.5,1.7
"DUBLIN, OH",0.20%,24.4,"44,442",20.80%,0.9,0.0,15.00%,2.5,2.1,1.4
"MELBOURNE, FL",1.20%,33.9,"79,640",17.20%,6.2,0.3,14.50%,2.4,2.2,1.5
"LONG BEACH, CA",1.20%,50.3,"470,489",12.60%,7.9,0.4,17.40%,2.9,2.6,1.8
"OWENSBORO, KY",0.60%,19.1,"58,791",26.30%,2.4,0.1,13.70%,2.3,,1.0
"NASHVILLE, TN",0.20%,475.1,"654,187",5.70%,4.1,0.2,14.50%,2.4,2.4,1.5
"WINFIELD, IL",0.30%,3.0,"9,641",45.10%,0.7,0.0,19.30%,3.2,,1.3
"GREENSBORO, NC",0.20%,126.5,"284,816",7.80%,2.4,0.1,14.20%,2.4,2.2,1.4
"CASPER, WY",0.50%,26.9,"59,171",20.80%,2.4,0.1,15.20%,2.5,,1.1
"SALT LAKE CITY, UT",3.10%,111.1,"194,188",7.80%,31.3,1.6,20.50%,3.4,3.1,2.6
"WEST CHESTER, PA",0.80%,1.8,"19,698",51.00%,1.6,0.1,14.20%,2.4,2.0,1.4
"NEWPORT NEWS, VA",0.30%,68.7,"180,775",11.50%,2.8,0.1,14.90%,2.5,2.0,1.4
"COLUMBUS, IN",0.60%,27.5,"46,926",20.80%,2.8,0.1,16.10%,2.7,2.5,1.6
"RIDGELAND, MS",0.20%,19.6,"24,312",26.30%,0.8,0.0,15.10%,2.5,1.8,1.4
"TALLAHASSEE, FL",1.00%,100.2,"188,463",7.80%,9.7,0.5,13.90%,2.3,2.4,1.6
"ROCKVILLE, MD",0.80%,13.5,"66,420",26.30%,2.4,0.1,15.10%,2.5,2.3,1.5
"WEST HARTFORD, CT",0.20%,21.8,"63,360",20.80%,0.6,0.0,15.80%,2.6,2.5,1.6
"BAKERSFIELD, CA",0.50%,142.2,"372,680",7.80%,6.0,0.3,13.40%,2.2,2.2,1.5
"BALTIMORE, MD",1.20%,80.9,"619,796",10.70%,10.4,0.5,14.20%,2.4,2.5,1.7
"CINCINNATI, OH",0.60%,77.9,"298,957",11.50%,5.2,0.3,17.20%,2.9,2.6,1.8
"CHARLESTON, SC",3.30%,109.0,"131,204",7.80%,32.9,1.6,15.10%,2.5,2.6,2.2
"SANTA FE, NM",1.10%,46.0,"82,980",12.60%,6.9,0.3,15.70%,2.6,2.9,1.8
"BROKEN ARROW, OK",0.10%,61.6,"106,264",11.50%,0.6,0.0,14.80%,2.5,,1.0
"BETTENDORF, IA",0.20%,21.2,"35,293",20.80%,0.7,0.0,18.30%,3.0,2.1,1.6
"PHOENIX, AZ",0.80%,516.7,"1,574,421",5.70%,14.2,0.7,16.40%,2.7,2.6,1.9
"RIO RANCHO, NM",0.10%,103.4,"93,317",7.80%,0.8,0.0,14.60%,2.4,,1.0
"SCRANTON, PA",0.30%,25.3,"76,624",20.80%,1.4,0.1,12.60%,2.1,,0.9
"GILBERT, AZ",0.70%,68.0,"232,176",11.50%,5.5,0.3,14.90%,2.5,,1.1
"HIGH POINT, NC",0.20%,53.8,"109,849",12.60%,1.2,0.1,12.80%,2.1,1.8,1.2
"BRIDGEPORT, CT",0.40%,16.0,"147,586",26.30%,1.4,0.1,13.80%,2.3,2.1,1.4
"SCOTTSDALE, AZ",1.10%,183.9,"239,283",6.40%,16.2,0.8,17.80%,3.0,2.7,2.0
"STATE COLLEGE, PA",14.30%,4.6,"42,224",37.00%,32.5,1.6,12.40%,2.1,2.7,2.0
"OAKLAND, CA",4.20%,55.8,"417,442",12.60%,31.2,1.6,18.60%,3.1,3.1,2.5
"HATTIESBURG, MS",1.00%,53.4,"46,495",12.60%,7.1,0.4,12.50%,2.1,2.0,1.4
"MAPLE GROVE, MN",0.30%,32.6,"68,362",17.20%,1.3,0.1,21.40%,3.6,,1.5
"HAMMOND, IN",0.30%,22.8,"77,827",20.80%,1.2,0.1,17.30%,2.9,,1.2
"TACOMA, WA",0.80%,49.7,"207,280",12.60%,5.1,0.3,17.80%,3.0,2.5,1.8
"PLANO, TX",0.10%,71.6,"281,566",11.50%,1.0,0.0,16.20%,2.7,2.1,1.5
"NEWBURYPORT, MA",0.40%,8.3,"17,890",26.30%,1.2,0.1,14.50%,2.4,2.3,1.5
"COLORADO SPRINGS, CO",0.70%,194.5,"450,000",6.40%,10.4,0.5,17.60%,2.9,3.0,2.0
"DOWNERS GROVE, IL",0.50%,14.3,"49,649",26.30%,1.5,0.1,19.70%,3.3,2.4,1.8
"SPRINGFIELD, IL",0.60%,59.5,"116,313",12.60%,4.7,0.2,17.10%,2.8,2.3,1.7
"OXFORD, MS",1.90%,15.8,"22,092",26.30%,6.4,0.3,10.10%,1.7,,0.8
"COLUMBUS, GA",0.20%,216.4,"198,647",5.70%,3.7,0.2,13.70%,2.3,,1.0
"THORNTON, CO",0.10%,34.8,"132,310",17.20%,0.6,0.0,15.70%,2.6,,1.1
"PAWTUCKET, RI",0.20%,8.7,"71,770",26.30%,0.7,0.0,14.10%,2.4,2.1,1.4
"KNOXVILLE, TN",0.80%,98.5,"184,465",10.70%,7.0,0.4,13.90%,2.3,2.5,1.6
"ALBANY, GA",0.00%,55.1,"74,892",12.60%,0.0,0.0,12.00%,2.0,,0.8
"NORFOLK, VA",0.90%,54.1,"245,752",12.60%,6.5,0.3,12.80%,2.1,2.5,1.5
"MORGAN HILL, CA",1.00%,12.9,"43,136",26.30%,3.1,0.2,14.30%,2.4,2.2,1.5
"HIGHLAND PARK, IL",0.60%,12.2,"29,796",26.30%,1.9,0.1,21.50%,3.6,2.3,1.9
"COLUMBIA, MO",1.50%,63.1,"118,620",11.50%,12.1,0.6,16.20%,2.7,2.6,1.8
"BURLINGTON, IA",0.80%,14.5,"25,330",26.30%,2.7,0.1,16.00%,2.7,1.9,1.5
"TOPEKA, KS",0.40%,60.2,"127,139",11.50%,2.9,0.1,16.60%,2.8,2.5,1.7
"DURHAM, NC",0.80%,107.4,"257,232",7.80%,8.2,0.4,15.30%,2.6,2.4,1.7
"MORGANTOWN, WV",1.60%,10.2,"30,099",26.30%,4.6,0.2,13.30%,2.2,2.3,1.4
"AMES, IA",4.30%,24.2,"65,005",20.80%,18.1,0.9,15.10%,2.5,2.6,1.9
"YOUNGSTOWN, OH",0.10%,34.0,"64,852",17.20%,0.6,0.0,14.90%,2.5,,1.0
"BILOXI, MS",0.20%,38.2,"45,328",17.20%,1.3,0.1,12.70%,2.1,1.9,1.2
"AUBURN, AL",0.60%,58.1,"61,462",12.60%,4.9,0.2,12.00%,2.0,2.1,1.3
"LIVONIA, MI",0.20%,35.7,"94,708",17.20%,1.1,0.1,17.80%,3.0,,1.2
"PORTLAND, OR",8.70%,133.4,"630,331",7.80%,99.7,5.0,20.40%,3.4,3.0,4.0
"MERIDIAN, MS",0.10%,53.7,"39,213",12.60%,0.7,0.0,11.00%,1.8,,0.7
"AUGUSTA, GA",0.30%,302.5,"196,899",5.70%,5.7,0.3,13.30%,2.2,1.9,1.4
"DULUTH, MN",0.80%,67.8,"86,066",11.50%,6.8,0.3,15.70%,2.6,2.7,1.7
"DAVENPORT, IA",0.40%,62.9,"102,268",11.50%,3.3,0.2,17.60%,2.9,2.3,1.7
"RICHMOND, VA",2.30%,59.8,"220,892",12.60%,18.1,0.9,14.20%,2.4,2.6,1.8
"SANTA ROSA, CA",1.50%,41.3,"174,244",12.60%,8.7,0.4,14.80%,2.5,2.6,1.7
"JANESVILLE, WI",0.30%,33.9,"63,957",17.20%,1.4,0.1,16.60%,2.8,2.3,1.6
"HUNTINGTON, WV",1.10%,16.2,"48,034",26.30%,3.7,0.2,13.30%,2.2,,1.0
"NEWINGTON, CT",0.20%,13.1,"30,603",26.30%,0.6,0.0,15.50%,2.6,,1.0
"AKRON, OH",0.10%,62.0,"198,252",11.50%,0.6,0.0,16.70%,2.8,2.4,1.6
"NORTHFIELD, NJ",0.70%,3.4,"8,480",45.10%,1.5,0.1,14.20%,2.4,,1.0
"WEST FARGO, ND",0.20%,14.4,"33,089",26.30%,0.7,0.0,20.40%,3.4,,1.4
"NORTH PLATTE, NE",0.10%,13.2,"24,135",26.30%,0.4,0.0,16.60%,2.8,,1.1
"JACKSONVILLE, FL",0.60%,747.0,"867,313",5.70%,10.0,0.5,14.20%,2.4,2.3,1.6
"NEWARK, DE",4.60%,9.2,"33,243",26.30%,12.8,0.6,14.40%,2.4,2.2,1.7
"EVANSTON, IL",5.30%,7.8,"75,557",37.00%,14.2,0.7,22.10%,3.7,2.7,2.3
"CANTON, OH",0.50%,25.5,"71,763",20.80%,2.2,0.1,16.30%,2.7,2.1,1.5
"PEACHTREE CITY, GA",0.10%,24.5,"34,988",20.80%,0.5,0.0,13.60%,2.3,,0.9
"WAXHAW, NC",0.10%,11.5,"13,343",26.30%,0.4,0.0,12.30%,2.0,,0.8
"SIOUX FALLS, SD",0.50%,73.0,"170,401",11.50%,4.1,0.2,18.60%,3.1,2.6,1.9
"DUNWOODY, GA",0.10%,12.9,"48,857",26.30%,0.5,0.0,16.30%,2.7,,1.1
"PADUCAH, KY",0.30%,19.9,"24,879",26.30%,1.0,0.0,12.70%,2.1,2.4,1.4
"BELLEVUE, WA",0.70%,32.0,"139,014",17.20%,3.3,0.2,17.40%,2.9,2.5,1.7
"CHULA VISTA, CA",0.30%,49.6,"264,101",12.60%,2.2,0.1,13.00%,2.2,2.2,1.3
"MESA, AZ",1.00%,136.5,"479,317",7.80%,12.1,0.6,16.30%,2.7,2.4,1.8
"FAIRFIELD, CA",0.60%,37.4,"112,790",17.20%,3.1,0.2,13.70%,2.3,,1.0
"LIVERMORE, CA",1.00%,25.2,"88,232",20.80%,4.4,0.2,15.60%,2.6,,1.1
"TUPELO, MS",0.00%,51.1,"38,321",12.60%,0.0,0.0,12.10%,2.0,1.5,1.1
"PEORIA, AZ",0.30%,174.4,"161,383",6.40%,4.3,0.2,7.60%,1.3,2.0,1.0
"GULFPORT, MS",0.40%,55.6,"71,318",12.60%,2.6,0.1,11.80%,2.0,,0.8
"EL PASO, TX",0.20%,255.2,"678,266",5.70%,3.6,0.2,11.90%,2.0,2.2,1.3
"TRENTON, NJ",0.30%,7.6,"84,867",37.00%,0.9,0.0,12.90%,2.2,,0.9
"EUCLID, OH",0.30%,10.6,"47,698",26.30%,0.9,0.0,17.10%,2.8,1.9,1.5
"EAU CLAIRE, WI",1.00%,32.0,"67,945",17.20%,4.9,0.2,16.30%,2.7,2.7,1.7
"MANHATTAN, NY",19.40%,22.8,"1,653,877",20.80%,78.6,3.9,35.00%,5.8,2.9,4.5
"BOWLING GREEN, KY",0.40%,37.8,"64,302",17.20%,2.2,0.1,12.70%,2.1,2.0,1.3
"LAKEWOOD, CO",0.70%,42.9,"151,411",12.60%,4.4,0.2,17.90%,3.0,2.8,1.8
"FRESNO, CA",1.00%,112.0,"519,037",7.80%,9.5,0.5,13.50%,2.2,2.5,1.6
"WARWICK, RI",0.10%,35.0,"81,218",17.20%,0.8,0.0,14.40%,2.4,,1.0
"SIMI VALLEY, CA",0.40%,41.5,"126,546",12.60%,2.4,0.1,14.20%,2.4,,1.0
"O'FALLON, MO",0.20%,29.2,"85,246",20.80%,0.7,0.0,21.70%,3.6,1.8,1.8
"WEST JORDAN, UT",0.30%,32.5,"111,937",17.20%,1.6,0.1,12.60%,2.1,,0.9
"GILLETTE, WY",0.20%,19.0,"31,783",26.30%,0.8,0.0,13.90%,2.3,,0.9
"NEW ULM, MN",0.80%,9.9,"13,249",26.30%,2.2,0.1,14.80%,2.5,2.1,1.5
"KALISPELL, MT",0.70%,11.6,"21,992",26.30%,2.0,0.1,14.00%,2.3,2.5,1.5
"MERIDIAN, ID",0.70%,26.8,"91,917",20.80%,3.0,0.1,13.10%,2.2,,0.9
"HILO, HI",0.50%,53.4,"45,703",12.60%,3.8,0.2,13.70%,2.3,,1.0
"PORTSMOUTH, NH",1.00%,15.6,"21,644",26.30%,3.2,0.2,16.40%,2.7,2.5,1.6
"MONTEBELLO, CA",0.60%,8.3,"63,468",26.30%,1.5,0.1,11.40%,1.9,,0.8
"CONCORD, NH",0.30%,64.2,"42,717",11.50%,2.3,0.1,12.80%,2.1,2.4,1.4
"ROSWELL, GA",0.10%,40.7,"94,239",12.60%,0.9,0.0,16.40%,2.7,2.4,1.6
"TEMPE, AZ",4.20%,39.9,"178,339",17.20%,24.2,1.2,16.30%,2.7,2.9,2.2
"RENO, NV",0.90%,103.0,"239,732",7.80%,8.5,0.4,15.10%,2.5,2.8,1.7
"BEAVERTON, OR",1.00%,18.7,"95,710",26.30%,3.6,0.2,18.60%,3.1,2.4,1.8
"BURKE, VA",0.20%,8.6,"42,710",26.30%,0.5,0.0,15.20%,2.5,2.1,1.4
"CEDAR RAPIDS, IA",0.50%,70.8,"130,330",11.50%,4.4,0.2,18.50%,3.1,2.7,1.9
"FRANKLIN, TN",0.00%,41.2,"72,990",12.60%,0.2,0.0,15.10%,2.5,,1.0
"SILOAM SPRINGS, AR",0.50%,11.1,"16,311",26.30%,1.6,0.1,10.50%,1.7,2.1,1.2
"BUTTE, MT",0.50%,716.2,"33,645",5.70%,9.2,0.5,14.90%,2.5,,1.2
"CONCORD, NC",0.00%,60.3,"87,607",11.50%,0.3,0.0,13.20%,2.2,,0.9
"COLUMBIA, SC",0.70%,132.2,"132,236",7.80%,8.1,0.4,13.80%,2.3,2.2,1.5
"RICHFIELD, UT",1.10%,5.7,"7,589",37.00%,2.6,0.1,13.30%,2.2,,0.9
"SIOUX CITY, IA",0.30%,57.4,"82,568",12.60%,2.1,0.1,16.30%,2.7,2.0,1.5
"LONGMONT, CO",1.20%,26.2,"91,730",20.80%,5.1,0.3,15.40%,2.6,3.0,1.7
"NORTH LITTLE ROCK, AR",0.10%,51.5,"66,144",12.60%,0.8,0.0,14.00%,2.3,1.8,1.3
"CHESAPEAKE, VA",0.20%,340.8,"235,410",5.70%,4.3,0.2,15.00%,2.5,1.9,1.5
"KENNER, LA",0.30%,14.9,"67,253",26.30%,1.0,0.0,13.50%,2.2,,0.9
"SAN DIEGO, CA",1.10%,325.2,"1,390,966",5.70%,20.0,1.0,16.30%,2.7,2.8,2.1
"EDWARDSVILLE, IL",0.60%,19.6,"24,823",26.30%,2.1,0.1,17.30%,2.9,2.4,1.7
"NORMAN, OK",2.10%,178.8,"119,820",6.40%,30.6,1.5,14.50%,2.4,2.1,2.0
"YORBA LINDA, CA",0.30%,19.5,"67,740",26.30%,1.3,0.1,14.10%,2.3,,1.0
"ABERDEEN, SD",0.80%,15.5,"27,925",26.30%,2.6,0.1,17.00%,2.8,,1.2
"AUGUSTA, ME",0.20%,55.1,"18,626",12.60%,1.8,0.1,12.50%,2.1,1.7,1.2
"DULUTH, GA",0.20%,10.0,"28,988",26.30%,0.7,0.0,15.30%,2.6,1.6,1.4
"CHAPEL HILL, NC",3.30%,21.1,"59,234",20.80%,13.0,0.7,14.00%,2.3,2.7,1.7
"VIENNA, VA",1.00%,4.4,"16,474",37.00%,2.3,0.1,15.70%,2.6,2.3,1.5
"JONESBORO, AR",0.10%,79.9,"73,581",11.50%,1.0,0.1,12.60%,2.1,2.1,1.3
"SUN PRAIRIE, WI",0.60%,12.2,"32,112",26.30%,1.9,0.1,20.10%,3.3,,1.4
"MIDDLETOWN, DE",0.60%,11.6,"20,754",26.30%,1.8,0.1,13.60%,2.3,,0.9
"SOLDOTNA, AK",0.80%,6.9,"4,516",37.00%,1.9,0.1,9.40%,1.6,,0.7
"CARSON CITY, NV",1.10%,144.7,"54,219",7.80%,13.4,0.7,14.70%,2.4,,1.2
"SUMMERVILLE, SC",0.30%,18.0,"49,122",26.30%,0.9,0.0,16.50%,2.8,1.9,1.5
"CROWN POINT, IN",0.30%,17.7,"28,952",26.30%,1.0,0.1,17.80%,3.0,,1.2
"SANTA MONICA, CA",4.60%,8.4,"92,495",26.30%,12.7,0.6,27.00%,4.5,2.7,2.6
"PARKERSBURG, WV",0.30%,11.8,"30,596",26.30%,0.8,0.0,13.00%,2.2,,0.9
"VILLA PARK, IL",0.80%,4.7,"21,867",37.00%,1.9,0.1,20.30%,3.4,,1.4
"WARREN, PA",0.30%,2.9,"9,333",45.10%,0.6,0.0,12.30%,2.0,2.0,1.2
"HENDERSON, NV",0.20%,107.7,"284,817",7.80%,2.1,0.1,15.40%,2.6,2.1,1.5
"BLOOMINGTON, IN",4.90%,23.2,"83,636",20.80%,19.8,1.0,14.80%,2.5,2.6,1.9
"METAIRIE, LA",0.30%,23.2,"144,822",20.80%,1.3,0.1,16.40%,2.7,,1.1
"ROCKFORD, IL",0.30%,61.1,"148,640",11.50%,2.5,0.1,15.80%,2.6,2.5,1.6
"HALES CORNERS, WI",0.40%,3.2,"7,704",45.10%,0.7,0.0,16.10%,2.7,,1.1
"CLARKSVILLE, TN",0.10%,97.6,"147,771",10.70%,0.6,0.0,13.80%,2.3,1.7,1.3
"DANVILLE, KY",0.40%,15.8,"16,657",26.30%,1.4,0.1,9.70%,1.6,,0.7
"FERNDALE, MI",1.50%,3.9,"20,159",45.10%,3.3,0.2,21.50%,3.6,2.4,2.0
"DECATUR, AL",0.30%,53.7,"54,844",12.60%,2.0,0.1,12.60%,2.1,,0.9
"THE VILLAGES, FL",0.00%,30.8,"74,618",17.20%,0.0,0.0,13.90%,2.3,,0.9
"SAN LUIS OBISPO, CA",9.80%,12.8,"46,997",26.30%,29.9,1.5,13.30%,2.2,2.7,2.0
"BOSSIER CITY, LA",0.30%,42.3,"67,511",12.60%,1.8,0.1,13.30%,2.2,1.8,1.3
"NARRAGANSETT, RI",0.40%,3.6,"3,977",45.10%,0.9,0.0,12.90%,2.2,2.1,1.3
"BUELLTON, CA",0.90%,1.6,"5,087",51.00%,1.7,0.1,10.90%,1.8,1.7,1.1
"CHEYENNE, WY",0.30%,24.5,"62,986",20.80%,1.4,0.1,15.90%,2.7,2.4,1.6
"ALEXANDRIA, MN",1.00%,16.0,"13,203",26.30%,3.3,0.2,14.30%,2.4,,1.0
"HILTON HEAD ISLAND, SC",1.20%,41.4,"39,666",12.60%,7.0,0.3,12.90%,2.2,,1.0
"BATAVIA, IL",1.20%,9.6,"26,499",26.30%,3.4,0.2,17.70%,3.0,,1.2
"WHEELING, WV",0.10%,13.8,"27,521",26.30%,0.4,0.0,11.90%,2.0,,0.8
"MOUNTAIN HOME, AR",0.40%,11.7,"12,253",26.30%,1.2,0.1,9.80%,1.6,1.4,1.0
"BURLINGAME, CA",1.00%,4.4,"30,401",37.00%,2.3,0.1,20.00%,3.3,,1.4
"BELLEVUE, NE",0.00%,15.9,"53,040",26.30%,0.1,0.0,19.70%,3.3,,1.3
"MELROSE, MA",0.80%,4.7,"28,132",37.00%,1.7,0.1,15.70%,2.6,2.1,1.5
"ESTERO, FL",0.50%,20.0,"31,510",20.80%,1.9,0.1,12.60%,2.1,,0.9
"WEST VALLEY CITY, UT",0.30%,35.6,"135,546",17.20%,1.5,0.1,13.90%,2.3,,1.0
"SAN ELIZARIO, TX",0.00%,10.3,"9,213",26.30%,0.0,0.0,7.10%,1.2,1.4,0.8
"NORTH KANSAS CITY, MO",0.00%,4.4,"4,371",37.00%,0.0,0.0,17.60%,2.9,,1.2
"VINEYARD, UT",0.00%,4.4,"2,958",37.00%,0.0,0.0,9.80%,1.6,,0.7
"BOULDER JUNCTION, WI",0.00%,1.1,909,51.00%,0.0,0.0,10.60%,1.8,2.1,1.1
"BUCKHANNON, WV",0.00%,2.8,"5,596",45.10%,0.0,0.0,9.60%,1.6,,0.6
"SOLVANG, CA",0.00%,2.4,"5,650",45.10%,0.0,0.0,14.00%,2.3,2.1,1.4
"MORRISTOWN, NJ",0.00%,2.9,"18,833",45.10%,0.0,0.0,14.60%,2.4,1.9,1.4
"MELBOURNE BEACH, FL",0.00%,1.0,"3,189",51.00%,0.0,0.0,13.90%,2.3,2.4,1.4
"MOORESVILLE, NC",0.00%,20.9,"36,577",20.80%,0.0,0.0,13.20%,2.2,1.6,1.2
"BARTLETT, TN",0.00%,26.7,"58,640",20.80%,0.2,0.0,13.80%,2.3,,0.9
"WALLED LAKE, MI",0.00%,2.2,"7,174",45.10%,0.0,0.0,18.70%,3.1,,1.2
"PELHAM MANOR, NY",0.00%,1.3,"5,634",51.00%,0.0,0.0,16.40%,2.7,,1.1
