City_Alt,ACS Bike-to-Work Mode Share,Land Area, Population ,ACS Target,ACS Normalized Score,ACS Ridership Points,SMS Recreation Riding,SMS Points,Community Survey Ridership Score,Total ridership score,Average Fatalities All Mode,All Mode Fatality Rate,All Mode Fatality Points,Average Fatalities Bike,Bike Fatality Rate,Bike Fatality Points,All Mode Injuries,All Mode Injury Rate,All Mode Injury Points,Bike Injuries,Bike Injury Rate,Bike Injury Points,All mode safety points,Bike Safety Points,Community Survey Safety Score,Total Safety Points,City Snapshot Points,Community Survey Acceleration Score,Total Acceleration Points,BNA,BNA Points,Community Survey Network Score,Total Nework Points,Percent Communities of Concern,Number Underserved Communities,Average BNA,BNA Underserved Communities,BNA Gap,BNA Tier,BNA Target,Distance,BNA Points.1,ACS Bike-to-Work Mode Share Men,ACS Bike-to-Work Mode Share Women,ACS Gap,ACS Tier,ACS_Target,Distance.1,ACS Points,Total Reach Points,Total Ponts
"WATERLOO, WI",1.30%,3.8,"3,345",45.10%,2.8,0.1,12.70%,2.1,,0.9,0.0,0.0,5.0,0.0,0.0,5.0,,,,,,,2.5,2.5,,2.0,,,,41.1,3,,2.4,0.0,0,29.6,,,,,,,0.02,0.0,0.02,3.0,-0.6,0.62,3.0,3.0,2.1
"IOWA CITY, IA",4.90%,25.0,"73,415",20.80%,20.8,1.0,16.10%,2.7,3.1,2.1,2.0,0.3,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.6,2.3,,3.2,0.6,37.2,2,3.0,2.2,6.8,3,38.0,44.4,-6.4,1.0,-25.0,18.6,3.1,0.07,0.03,0.04,3.0,-0.6,0.64,3.0,3.0,2.1
"PALO ALTO, CA",10.40%,23.9,"67,082",20.80%,43.2,2.2,20.00%,3.3,3.2,2.8,2.6,0.4,4.0,0.4,1.5,4.0,,,,,,,2.0,2.0,3.0,2.2,,3.0,0.6,40.5,3,3.0,3.0,4.7,4,31.6,18.4,13.2,,,,,0.12,0.09,0.03,3.0,-0.6,0.63,3.0,3.0,2.3
"BOZEMAN, MT",5.70%,19.1,"43,132",26.30%,21.0,1.0,15.40%,2.6,2.9,2.0,0.8,0.2,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.7,2.3,,2.8,0.6,48.4,3,3.5,3.1,3.0,1,40.0,28.1,11.9,,,,,0.07,0.04,0.03,3.0,-0.6,0.63,3.0,3.0,2.2
"LOS ALTOS, CA",2.80%,6.5,"30,527",37.00%,7.0,0.4,20.30%,3.4,2.6,2.0,0.4,0.1,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,3.1,2.4,,2.4,0.5,25.5,2,2.6,2.1,4.2,3,23.3,24.7,-1.4,,,,,0.04,0.01,0.03,3.0,-0.6,0.63,3.0,3.0,2.0
"HILLSBORO, OR",1.90%,23.9,"102,396",20.80%,7.9,0.4,17.90%,3.0,,1.3,2.8,0.3,4.0,0.0,0.0,5.0,63.0,6.2,1.0,1.0,11.5,4.0,2.5,4.5,,2.8,3.2,,2.5,28.8,2,,1.6,5.7,5,26.6,32.6,-6.0,1.0,-25.0,19.0,3.0,0.02,0.01,0.01,3.0,-0.6,0.61,3.1,3.0,2.3
"HELENA, MT",2.70%,16.3,"30,345",26.30%,9.0,0.5,15.80%,2.6,,1.2,0.4,0.1,4.0,0.2,5.6,4.0,,,,,,,2.0,2.0,,1.6,,,,37.4,2,,1.6,4.7,2,32.3,47.0,-14.7,,,,,0.04,0.01,0.03,3.0,-0.6,0.63,3.0,3.0,1.9
"BRECKENRIDGE, CO",1.60%,5.9,"4,833",37.00%,3.9,0.2,18.90%,3.1,2.8,1.9,0.2,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,3.5,2.5,,3.5,0.7,22.2,2,4.1,2.4,14.3,1,15.9,39.3,-23.4,,,,,0.03,0.0,0.03,3.0,-0.6,0.63,3.0,3.0,2.1
"KEY WEST, FL",15.60%,5.6,"25,316",37.00%,37.2,1.9,15.40%,2.6,2.8,2.3,5.0,2.0,1.0,0.4,2.1,4.0,,,,,,,0.5,2.0,2.7,1.5,,2.0,0.4,28.5,2,2.2,2.0,7.7,2,25.2,39.4,-14.2,,,,,0.17,0.14,0.03,3.0,-0.6,0.63,3.0,3.0,1.9
"SANTA CRUZ, CA",12.00%,12.7,"63,993",26.30%,36.5,1.8,15.10%,2.5,3.2,2.4,2.0,0.3,4.0,0.2,0.7,4.0,,,,,,,2.0,2.0,2.4,2.1,,3.5,0.7,14.3,1,3.4,1.5,4.5,3,15.2,17.6,-2.4,,,,,0.14,0.1,0.03,3.0,-0.6,0.63,3.0,3.0,1.9
"REXBURG, ID",4.10%,9.8,"27,369",26.30%,11.5,0.6,12.50%,2.1,2.4,1.5,0.2,0.1,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.7,2.3,,1.6,0.3,21.5,2,2.3,2.1,0.0,0,18.3,,,,,,,0.06,0.02,0.04,3.0,-0.6,0.64,3.0,3.0,1.8
"LARAMIE, WY",5.70%,17.7,"32,104",26.30%,20.0,1.0,17.20%,2.9,2.8,2.1,1.4,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,3.0,2.4,,2.6,0.5,49.1,3,3.0,3.0,0.0,0,49.2,,,,,,,0.08,0.04,0.04,3.0,-0.6,0.64,3.0,3.0,2.2
"OLYMPIA, WA",4.00%,17.8,"49,928",26.30%,14.1,0.7,16.20%,2.7,2.5,1.9,2.0,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.4,2.3,,2.5,0.5,26.9,2,2.7,2.1,12.9,8,23.3,30.4,-7.1,2.0,-20.0,12.9,3.0,0.05,0.03,0.02,3.0,-0.6,0.62,3.1,3.0,2.0
"KEENE, NH",2.90%,37.2,"23,204",17.20%,15.7,0.8,11.30%,1.9,2.3,1.5,2.6,1.1,2.0,0.2,7.0,4.0,,,,,,,1.0,2.0,2.9,1.8,,2.5,0.5,9.3,1,2.8,1.4,0.0,0,7.6,,,,,,,0.05,0.01,0.04,3.0,-0.6,0.64,3.0,3.0,1.6
"STEAMBOAT SPRINGS, CO",8.00%,10.1,"12,520",26.30%,22.9,1.1,13.10%,2.2,3.1,2.0,0.2,0.2,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,3.2,2.4,,3.4,0.7,9.9,1,4.2,1.6,0.0,0,8.5,,,,,,,0.1,0.06,0.04,3.0,-0.6,0.64,3.0,3.0,1.9
"CLEMSON, SC",2.80%,7.4,"15,375",37.00%,7.4,0.4,10.70%,1.8,2.1,1.3,0.0,0.0,5.0,0.0,0.0,5.0,,,,,,,2.5,2.5,2.2,2.4,,1.8,0.4,23.3,2,2.2,2.0,11.8,2,17.6,20.5,-2.9,,,,,0.05,0.0,0.04,3.0,-0.6,0.64,3.0,3.0,1.8
"NORTHAMPTON, MA",5.00%,34.2,"28,548",17.20%,25.7,1.3,13.50%,2.3,2.5,1.9,0.8,0.3,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,3.1,2.4,,2.8,0.6,27.0,2,3.0,2.2,9.1,2,21.4,16.9,4.5,,,,,0.08,0.02,0.05,3.0,-0.6,0.65,3.0,3.0,2.0
"ATHENS, OH",6.60%,9.8,"24,486",26.30%,18.7,0.9,11.10%,1.8,2.4,1.6,1.2,0.5,3.0,0.0,0.0,5.0,8.0,3.3,2.0,0.0,0.0,5.0,2.5,5.0,3.1,3.6,1.2,2.8,1.5,44.9,3,3.1,3.0,10.5,2,30.1,27.8,2.3,,,,,0.09,0.04,0.06,3.0,-0.6,0.66,2.9,2.9,3.0
"MILL VALLEY, CA",5.60%,4.8,"14,392",37.00%,12.7,0.6,19.50%,3.2,2.9,2.1,0.2,0.1,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.7,2.3,,3.1,0.6,34.9,2,3.1,2.2,0.0,0,26.2,,,,,,,0.09,0.02,0.06,3.0,-0.6,0.66,2.9,2.9,2.1
"MURFREESBORO, TN",0.50%,55.3,"126,188",12.60%,3.6,0.2,14.30%,2.4,2.0,1.4,10.2,0.8,3.0,0.2,6.4,4.0,,,,,,,1.5,2.0,2.0,1.8,,1.6,0.3,24.4,2,1.8,2.0,14.1,10,19.5,25.8,-6.4,3.0,-15.0,8.6,3.4,0.01,0.0,0.01,2.0,-0.05,0.06,1.5,2.9,1.7
"FALMOUTH, MA",4.80%,2.1,"3,619",45.10%,9.4,0.5,12.20%,2.0,2.7,1.5,2.6,7.2,0.0,0.0,0.0,5.0,,,,,,,0.0,2.5,2.9,1.6,,2.6,0.5,19.5,1,2.8,1.4,0.0,0,16.9,,,,,,,0.08,0.01,0.07,3.0,-0.6,0.67,2.9,2.9,1.6
"WINTHROP, WA",4.70%,0.9,411,51.00%,8.7,0.4,11.50%,1.9,,0.9,0.0,0.0,5.0,0.0,0.0,5.0,,,,,,,2.5,2.5,,2.0,,,,20.7,2,,1.6,0.0,0,20.1,,,,,,,0.08,0.0,0.08,3.0,-0.6,0.68,2.9,2.9,1.9
"REDDING, CA",1.20%,59.6,"91,236",12.60%,9.7,0.5,13.80%,2.3,2.4,1.6,8.0,0.9,2.0,0.6,14.3,3.0,,,,,,,1.0,1.5,2.4,1.5,,3.1,0.6,17.1,1,3.2,1.4,8.4,7,14.9,18.0,-3.1,3.0,-15.0,11.9,2.8,0.02,0.01,0.01,3.0,-0.6,0.61,3.1,2.9,1.6
"WICHITA, KS",0.40%,159.3,"389,054",6.40%,4.8,0.2,18.10%,3.0,2.5,1.8,34.6,0.9,2.0,0.6,9.5,3.0,,,,,,,1.0,1.5,2.5,1.5,,2.9,0.6,27.5,2,2.6,2.1,18.9,63,30.5,40.9,-10.5,1.0,-25.0,14.5,3.5,0.01,0.0,0.01,1.0,-0.02,0.03,1.0,2.9,1.8
"BOULDER, CO",15.30%,24.7,"106,271",20.80%,64.5,3.2,17.90%,3.0,3.4,3.2,1.6,0.2,4.0,0.4,0.7,4.0,60.0,5.6,1.0,21.5,35.9,3.0,2.5,3.5,2.9,3.0,2.9,3.5,3.0,61.6,4,4.3,4.1,4.3,4,52.4,51.0,1.4,,,,,0.19,0.11,0.09,3.0,-0.6,0.69,2.9,2.9,3.7
"SANTA BARBARA, CA",5.40%,19.5,"91,443",26.30%,20.2,1.0,15.60%,2.6,2.7,2.0,3.8,0.4,4.0,0.2,0.9,4.0,39.0,4.3,1.0,13.0,60.3,2.0,2.5,3.0,2.7,2.7,3.2,3.5,3.3,23.6,2,3.0,2.2,15.1,16,22.9,29.0,-6.0,2.0,-20.0,14.0,2.8,0.08,0.02,0.06,3.0,-0.6,0.66,3.0,2.8,3.1
"QUINCY, IL",0.50%,15.9,"40,587",26.30%,1.8,0.1,16.80%,2.8,2.0,1.6,2.6,0.6,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.6,2.1,,2.2,0.4,55.0,3,1.9,2.8,9.3,4,55.2,63.5,-8.3,1.0,-25.0,16.7,3.3,0.01,0.0,0.0,2.0,-0.05,0.05,1.6,2.8,2.0
"FORT SMITH, AR",0.20%,62.0,"87,537",11.50%,1.8,0.1,12.40%,2.1,2.0,1.3,6.2,0.7,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.2,2.0,,2.1,0.4,27.7,2,2.3,2.1,10.8,9,27.9,36.4,-8.5,1.0,-25.0,16.5,3.3,0.0,0.0,0.0,1.0,-0.02,0.02,1.5,2.8,1.7
"QUEENS, NY",1.30%,108.5,"2,339,280",7.80%,12.6,0.6,15.30%,2.6,2.8,1.8,77.0,0.3,4.0,4.0,7.1,4.0,900.5,3.8,2.0,51.5,91.0,1.0,3.0,2.5,2.3,2.7,2.7,2.7,2.7,46.1,3,2.3,2.9,14.2,249,47.0,50.5,-3.5,1.0,-25.0,21.5,2.8,0.02,0.01,0.01,3.0,-0.6,0.61,3.1,2.8,3.1
"AVENTURA, FL",0.60%,2.7,"37,875",45.10%,1.1,0.1,16.80%,2.8,,1.1,1.6,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8,,,,10.0,1,,0.8,7.9,3,8.2,13.9,-5.7,3.0,-15.0,9.3,3.3,0.01,0.0,0.01,2.0,-0.05,0.06,1.5,2.8,1.6
"MOUNT PLEASANT, SC",0.70%,45.1,"80,661",12.60%,4.3,0.2,13.90%,2.3,2.1,1.4,4.2,0.5,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.2,2.0,,1.6,0.3,20.8,2,1.6,1.9,11.1,4,22.8,31.3,-8.5,2.0,-20.0,11.5,3.2,0.01,0.01,0.0,2.0,-0.05,0.05,1.7,2.8,1.7
"ANN ARBOR, MI",6.70%,27.8,"119,303",20.80%,30.6,1.5,17.50%,2.9,2.9,2.4,3.6,0.3,4.0,0.6,2.3,4.0,34.0,2.8,3.0,3.5,13.2,4.0,3.5,4.0,2.4,3.5,1.5,2.6,1.7,35.0,2,3.1,2.2,8.5,9,32.5,35.6,-3.1,1.0,-25.0,21.9,2.7,0.09,0.05,0.04,3.0,-0.6,0.64,3.0,2.8,3.0
"FITCHBURG, WI",0.90%,35.0,"27,914",17.20%,4.5,0.2,19.20%,3.2,2.8,1.9,1.0,0.4,4.0,0.0,0.0,5.0,13.0,4.7,1.0,2.0,173.9,0.0,2.5,2.5,3.4,2.7,1.7,3.1,1.9,37.1,2,3.3,2.3,25.6,10,34.3,43.7,-9.4,1.0,-25.0,15.6,3.4,0.01,0.0,0.01,2.0,-0.05,0.06,1.0,2.8,2.8
"GRAND ISLAND, NE",0.70%,28.4,"51,042",20.80%,3.4,0.2,16.50%,2.7,,1.2,3.4,0.7,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,,1.6,,,,20.4,2,,1.6,6.8,3,17.0,22.6,-5.6,3.0,-15.0,9.4,3.3,0.01,0.0,0.01,2.0,-0.05,0.06,1.3,2.8,1.8
"VENTURA, CA",1.10%,21.7,"110,153",20.80%,4.4,0.2,14.40%,2.4,2.6,1.6,8.8,0.8,3.0,0.6,11.6,3.0,25.5,2.3,3.0,4.5,87.2,1.0,3.0,2.0,2.6,2.5,3.2,2.8,3.1,29.4,2,2.7,2.1,6.7,5,28.2,36.9,-8.7,1.0,-25.0,16.3,3.3,0.02,0.01,0.01,2.0,-0.05,0.06,1.2,2.8,2.9
"STANFORD, CA",62.90%,2.7,"15,277",45.10%,100.0,5.0,18.20%,3.0,,3.2,0.0,0.0,5.0,0.0,0.0,5.0,,,,,,,2.5,2.5,,2.0,,,,38.2,2,,1.6,0.0,0,24.1,,,,,,,0.68,0.56,0.12,3.0,-0.6,0.72,2.8,2.8,2.4
"OREM, UT",1.40%,18.3,"94,420",26.30%,5.2,0.3,13.80%,2.3,2.4,1.5,1.8,0.2,4.0,0.2,3.5,4.0,,,,,,,2.0,2.0,2.5,2.1,,2.1,0.4,32.0,2,2.7,2.1,5.9,5,26.7,29.1,-2.4,1.0,-25.0,22.6,2.6,0.02,0.01,0.01,3.0,-0.6,0.61,3.1,2.7,1.8
"TAMPA, FL",1.50%,113.4,"368,087",7.80%,14.9,0.7,13.70%,2.3,2.4,1.7,50.0,1.4,2.0,3.8,16.5,3.0,,,,,,,1.0,1.5,2.0,1.4,,2.2,0.4,13.1,1,2.4,1.3,25.3,110,10.4,12.6,-2.2,3.0,-15.0,12.8,2.6,0.02,0.01,0.01,3.0,-0.6,0.61,3.1,2.7,1.5
"RUTLAND, VT",0.30%,7.6,"15,740",37.00%,0.8,0.0,13.20%,2.2,,0.9,0.6,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8,,,,40.8,3,,2.4,5.6,1,40.1,46.3,-6.1,,,,,0.0,0.01,-0.01,1.0,-0.02,0.01,2.7,2.7,2.0
"INDEPENDENCE, MO",0.10%,77.6,"117,369",11.50%,0.7,0.0,17.90%,3.0,,1.2,11.2,1.0,2.0,0.0,0.0,5.0,,,,,,,1.0,2.5,,1.4,,,,26.1,2,,1.6,11.5,15,23.2,30.7,-7.5,2.0,-20.0,12.5,3.0,0.0,0.0,0.0,1.0,-0.02,0.02,1.8,2.7,1.7
"CARROLLTON, GA",0.40%,22.3,"26,054",20.80%,1.8,0.1,9.70%,1.6,,0.7,4.6,1.8,1.0,0.2,43.5,2.0,,,,,,,0.5,1.0,,0.6,2.2,,1.8,18.1,1,,0.8,20.8,5,10.7,14.3,-3.6,3.0,-15.0,11.4,2.9,0.0,0.01,0.0,1.0,-0.02,0.02,2.2,2.7,1.3
"LANSING, MI",0.80%,36.0,"115,222",17.20%,4.2,0.2,17.20%,2.9,2.5,1.7,7.6,0.7,3.0,0.2,5.4,4.0,,,,,,,1.5,2.0,2.4,1.9,,2.4,0.5,26.0,2,2.7,2.1,19.2,29,24.9,33.3,-8.4,2.0,-20.0,11.6,3.2,0.01,0.0,0.01,2.0,-0.05,0.06,1.3,2.7,1.8
"AURORA, IL",0.30%,44.9,"200,946",12.60%,1.6,0.1,19.60%,3.3,,1.3,7.0,0.3,4.0,0.4,17.5,3.0,,,,,,,2.0,1.5,,1.4,,,,49.3,3,,2.4,15.6,23,43.8,50.0,-6.3,1.0,-25.0,18.7,3.0,0.0,0.0,0.0,1.0,-0.02,0.02,1.7,2.7,2.0
"GOOSE CREEK, SC",0.20%,40.1,"41,040",12.60%,1.5,0.1,13.70%,2.3,1.8,1.3,3.4,0.8,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.1,2.0,,1.4,0.3,19.0,1,1.9,1.2,9.1,4,16.6,21.5,-4.9,3.0,-15.0,10.1,3.1,0.0,0.0,0.0,1.0,-0.02,0.02,1.4,2.7,1.5
"CHARLESTON, WV",0.50%,31.5,"49,384",17.20%,2.7,0.1,13.60%,2.3,2.2,1.4,6.6,1.3,2.0,0.2,19.0,3.0,,,,,,,1.0,1.5,1.9,1.4,,2.1,0.4,21.4,2,2.0,2.0,12.9,9,18.3,23.4,-5.1,3.0,-15.0,9.9,3.2,0.01,0.0,0.01,2.0,-0.05,0.06,1.3,2.7,1.6
"TROY, OH",0.20%,11.7,"25,694",26.30%,0.7,0.0,16.10%,2.7,,1.1,0.4,0.2,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8,,,,43.8,3,,2.4,3.8,1,42.0,69.3,-27.3,,,,,0.0,0.01,-0.01,1.0,-0.02,0.01,2.7,2.7,2.0
"KANSAS CITY, KS",0.20%,124.8,"151,042",7.80%,2.4,0.1,16.20%,2.7,,1.1,19.2,1.3,2.0,0.2,14.4,3.0,,,,,,,1.0,1.5,,1.0,,,,32.4,2,,1.6,20.2,36,32.4,38.9,-6.4,1.0,-25.0,18.6,3.1,0.0,0.0,0.0,1.0,-0.02,0.02,1.5,2.7,1.6
"SANTA MARIA, CA",0.70%,22.8,"104,791",20.80%,2.7,0.1,11.20%,1.9,2.2,1.2,2.6,0.2,4.0,0.4,14.1,3.0,33.0,3.1,3.0,4.5,158.5,0.0,3.5,1.5,2.0,2.4,1.7,1.8,1.7,70.2,4,2.1,3.6,12.7,9,66.0,73.0,-7.0,1.0,-25.0,18.0,3.1,0.01,0.0,0.01,2.0,-0.05,0.06,1.3,2.7,2.8
"SHAWNEE, KS",0.20%,41.9,"64,840",12.60%,1.4,0.1,24.90%,4.2,2.0,2.1,2.8,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.7,2.3,,2.3,0.5,30.1,2,2.4,2.1,5.9,4,28.5,33.0,-4.5,1.0,-25.0,20.5,2.9,0.0,0.0,0.0,1.0,-0.02,0.02,2.0,2.6,1.9
"SAINT PETERSBURG, FL",1.50%,61.7,"256,031",11.50%,12.0,0.6,15.10%,2.5,2.5,1.8,27.8,1.1,2.0,0.8,4.7,4.0,,,,,,,1.0,2.0,2.5,1.7,,2.8,0.6,9.8,1,2.4,1.3,15.1,40,8.8,10.2,-1.5,3.0,-15.0,13.5,2.5,0.02,0.01,0.01,3.0,-0.6,0.61,3.1,2.6,1.6
"PORTLAND, ME",3.00%,21.3,"66,715",20.80%,11.6,0.6,14.70%,2.5,,1.2,2.6,0.4,4.0,0.0,0.0,5.0,653.0,97.9,0.0,28.0,320.0,0.0,2.0,2.5,,1.8,1.8,,1.4,21.5,2,,1.6,10.2,6,21.7,25.7,-4.0,2.0,-20.0,16.0,2.5,0.04,0.02,0.02,3.0,-0.6,0.62,3.1,2.6,1.7
"ATHENS, GA",1.50%,116.4,"122,292",7.80%,15.0,0.7,11.70%,1.9,2.4,1.6,10.0,0.8,3.0,1.0,14.1,3.0,,,,,,,1.5,1.5,2.2,1.6,1.8,2.7,1.9,11.3,1,2.8,1.4,15.4,12,8.4,9.8,-1.4,3.0,-15.0,13.6,2.5,0.02,0.01,0.01,3.0,-0.6,0.61,3.1,2.6,2.3
"FAIRBANKS, AK",1.20%,31.7,"31,853",17.20%,6.1,0.3,14.20%,2.4,2.5,1.6,5.4,1.7,2.0,0.0,0.0,5.0,,,,,,,1.0,2.5,2.6,1.9,,2.5,0.5,22.2,2,2.9,2.2,10.5,4,21.3,25.0,-3.8,2.0,-20.0,16.2,2.5,0.01,0.01,0.0,3.0,-0.6,0.6,3.1,2.6,1.8
"EMMAUS, PA",0.60%,2.9,"11,360",45.10%,1.3,0.1,14.60%,2.4,,1.0,0.4,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,,1.8,,,,44.8,3,,2.4,9.1,1,56.0,67.5,-11.4,,,,,0.0,0.01,-0.01,2.0,-0.05,0.04,2.6,2.6,2.0
"ALEXANDRIA, VA",1.90%,15.0,"154,710",26.30%,6.1,0.3,21.50%,3.6,2.6,2.1,3.0,0.2,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.7,2.3,,2.8,0.6,37.2,2,2.7,2.1,12.5,17,34.8,35.3,-0.5,1.0,-25.0,24.5,2.4,0.03,0.01,0.02,3.0,-0.6,0.62,3.1,2.6,1.9
"LA CROSSE, WI",3.70%,20.5,"51,928",20.80%,14.1,0.7,16.00%,2.7,2.8,1.9,1.6,0.3,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.9,2.4,,3.4,0.7,54.2,3,3.6,3.1,6.3,4,44.5,45.0,-0.6,1.0,-25.0,24.4,2.4,0.05,0.02,0.03,3.0,-0.6,0.63,3.0,2.6,2.1
"TULSA, OK",0.30%,196.8,"401,352",6.40%,4.6,0.2,14.10%,2.4,2.5,1.5,48.2,1.2,2.0,0.2,3.9,4.0,,,,,,,1.0,2.0,2.2,1.6,,3.0,0.6,16.6,1,2.8,1.4,16.4,60,17.9,22.2,-4.3,3.0,-15.0,10.7,3.0,0.0,0.0,0.0,1.0,-0.02,0.02,1.3,2.6,1.5
"YUMA, AZ",0.50%,120.3,"93,851",7.80%,5.5,0.3,10.00%,1.7,,0.8,9.8,1.0,2.0,0.2,10.6,3.0,,,,,,,1.0,1.5,,1.0,,,,22.3,2,,1.6,11.2,11,17.3,21.2,-3.9,3.0,-15.0,11.1,2.9,0.01,0.0,0.01,2.0,-0.05,0.06,1.5,2.6,1.5
"RAVENNA, OH",0.10%,5.6,"11,530",37.00%,0.3,0.0,14.80%,2.5,,1.0,1.6,1.4,2.0,0.0,0.0,5.0,,,,,,,1.0,2.5,,1.4,,,,18.7,1,,0.8,17.6,3,15.2,17.5,-2.3,3.0,-15.0,12.7,2.6,0.0,0.0,0.0,1.0,-0.02,0.02,2.3,2.6,1.4
"PHILADELPHIA, PA",3.40%,134.1,"1,569,657",7.80%,39.2,2.0,17.40%,2.9,3.0,2.6,94.8,0.6,3.0,3.2,2.3,4.0,,,,,,,1.5,2.0,2.1,1.8,,3.2,0.6,39.8,2,3.3,2.3,33.0,446,41.3,41.4,-0.1,1.0,-25.0,24.9,2.4,0.04,0.03,0.02,3.0,-0.6,0.62,3.1,2.6,2.0
"SANTA ANA, CA",1.00%,27.3,"334,493",20.80%,4.6,0.2,12.10%,2.0,2.3,1.3,23.0,0.7,3.0,2.0,13.9,3.0,,,,,,,1.5,1.5,2.2,1.6,,1.8,0.4,23.3,2,2.2,2.0,13.7,29,21.5,28.9,-7.4,2.0,-20.0,12.6,3.0,0.01,0.0,0.01,2.0,-0.05,0.06,1.2,2.6,1.6
"CHICAGO, IL",2.80%,227.6,"2,722,586",5.70%,44.9,2.2,17.10%,2.9,3.1,2.7,128.4,0.5,3.0,5.4,2.5,4.0,,,,,,,1.5,2.0,2.4,1.9,,3.4,0.7,35.0,2,3.2,2.2,30.6,725,34.5,34.6,-0.1,1.0,-25.0,24.9,2.4,0.04,0.02,0.02,3.0,-0.6,0.62,3.1,2.6,2.0
"VENICE, FL",2.60%,15.3,"22,192",26.30%,8.4,0.4,14.00%,2.3,,1.1,2.0,0.9,2.0,0.0,0.0,5.0,,,,,,,1.0,2.5,,1.4,3.6,,2.9,8.8,1,,0.8,10.5,4,8.5,9.5,-1.0,3.0,-15.0,14.0,2.4,0.04,0.01,0.03,3.0,-0.6,0.63,3.0,2.6,1.7
"LITTLETON, CO",0.50%,13.0,"45,848",26.30%,1.6,0.1,18.00%,3.0,2.9,1.8,1.4,0.3,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.6,2.3,0.0,2.8,0.6,10.8,1,3.2,1.4,6.8,5,9.1,13.3,-4.2,3.0,-15.0,10.8,3.0,0.01,0.0,0.0,1.0,-0.02,0.02,1.3,2.6,2.2
"ROGERS, AR",0.10%,37.9,"63,411",17.20%,0.8,0.0,13.10%,2.2,2.6,1.4,2.4,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,3.2,2.4,0.6,3.6,1.2,12.4,1,3.6,1.5,11.3,8,9.3,12.2,-2.9,3.0,-15.0,12.1,2.8,0.0,0.0,0.0,1.0,-0.02,0.02,2.0,2.6,2.3
"EVANSVILLE, IN",0.30%,44.2,"119,806",12.60%,1.8,0.1,16.40%,2.7,2.1,1.5,18.6,1.6,2.0,0.6,40.8,2.0,,,,,,,1.0,1.0,2.0,1.2,,2.2,0.4,23.1,2,2.0,2.0,13.4,18,23.2,29.6,-6.4,2.0,-20.0,13.6,2.9,0.0,0.0,0.0,1.0,-0.02,0.02,1.7,2.6,1.6
"SAINT PAUL, MN",2.00%,52.0,"300,820",12.60%,14.0,0.7,17.40%,2.9,3.0,2.0,9.6,0.3,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.9,2.4,,3.1,0.6,46.8,3,3.1,3.0,21.0,61,45.0,44.9,0.1,1.0,-25.0,25.1,2.4,0.03,0.02,0.01,3.0,-0.6,0.61,3.1,2.6,2.1
"HARTFORD, CT",0.60%,17.4,"124,390",26.30%,2.2,0.1,12.10%,2.0,2.3,1.3,9.4,0.8,3.0,0.2,8.6,4.0,,,,,,,1.5,2.0,2.2,1.8,,2.4,0.5,16.5,1,2.4,1.3,28.3,32,16.7,20.9,-4.2,3.0,-15.0,10.8,3.0,0.01,0.0,0.01,2.0,-0.05,0.06,1.2,2.5,1.5
"SYRACUSE, NY",1.40%,25.0,"144,405",20.80%,5.8,0.3,12.50%,2.1,2.4,1.4,8.6,0.6,3.0,0.6,10.1,3.0,,,,,,,1.5,1.5,2.3,1.7,,2.4,0.5,7.3,1,2.5,1.3,30.2,45,6.6,7.3,-0.8,3.0,-15.0,14.2,2.4,0.02,0.01,0.01,3.0,-0.6,0.61,3.1,2.5,1.5
"BROOKLYN, NY",6.80%,70.8,"2,635,121",11.50%,56.4,2.8,16.30%,2.7,3.1,2.8,69.6,0.3,4.0,6.8,3.4,4.0,938.0,3.6,2.0,139.0,69.3,2.0,3.0,3.0,2.2,2.8,2.8,3.2,2.9,57.7,3,2.5,2.9,19.3,399,57.8,57.6,0.1,1.0,-25.0,25.1,2.4,0.08,0.05,0.03,3.0,-0.6,0.63,3.0,2.5,3.3
