City_Alt,ACS Bike-to-Work Mode Share,Land Area, Population ,ACS Target,ACS Normalized Score,ACS Ridership Points,SMS Recreation Riding,SMS Points,Community Survey Ridership Score,Total ridership score,Average Fatalities All Mode,All Mode Fatality Rate,All Mode Fatality Points,Average Fatalities Bike,Bike Fatality Rate,Bike Fatality Points,All Mode Injuries,All Mode Injury Rate,All Mode Injury Points,Bike Injuries,Bike Injury Rate,Bike Injury Points,All mode safety points,Bike Safety Points,Community Survey Safety Score,Total Safety Points,City Snapshot Points,Community Survey Acceleration Score,Total Acceleration Points,BNA,BNA Points,Community Survey Network Score,Total Nework Points,Percent Communities of Concern,Number Underserved Communities,Average BNA,BNA Underserved Communities,BNA Gap,BNA Tier,BNA Target,Distance,BNA Points.1,ACS Bike-to-Work Mode Share Men,ACS Bike-to-Work Mode Share Women,ACS Gap,ACS Tier,ACS_Target,Distance.1,ACS Points,Total Reach Points,Total Ponts
"SPRINGDALE, AR",0.30%,41.8,"77,252",12.60%,1.7,0.1,12.40%,2.1,2.3,1.3,6.2,0.8,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.9,2.2,3.0,3.2,3.0,23.2,2,3.2,2.2,13.4,9,19.2,33.9,-14.7,3.0,-15.0,0.3,4.9,0.01,0.0,0.01,1.0,-0.02,0.03,1.0,4.0,3.0
"ENID, OK",0.70%,73.7,"50,809",11.50%,5.5,0.3,13.00%,2.2,,1.0,3.6,0.7,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,,1.6,,,,61.4,4,,3.2,14.6,6,54.7,77.0,-22.4,1.0,-25.0,2.6,4.7,0.01,0.0,0.01,2.0,-0.05,0.06,1.2,3.8,2.4
"DUBUQUE, IA",0.40%,30.0,"58,410",20.80%,2.0,0.1,16.50%,2.7,2.2,1.6,2.2,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.6,2.3,,2.4,0.5,21.0,2,2.8,2.2,7.6,5,22.2,38.8,-16.6,2.0,-20.0,3.4,4.5,0.0,0.0,0.0,1.0,-0.02,0.02,1.7,3.8,2.1
"SOUTH BEND, IN",1.30%,41.5,"101,928",12.60%,7.8,0.4,15.80%,2.6,2.3,1.7,14.0,1.4,2.0,0.0,0.0,5.0,,,,,,,1.0,2.5,2.6,1.9,,2.9,0.6,38.1,2,2.5,2.1,17.8,24,36.0,51.0,-15.0,1.0,-25.0,10.0,4.0,0.02,0.01,0.02,3.0,-0.6,0.62,3.1,3.7,2.0
"CRESTED BUTTE, CO",41.10%,0.8,"1,385",51.00%,75.6,3.8,18.80%,3.1,3.6,3.5,0.0,0.0,5.0,0.0,0.0,5.0,,,,,,,2.5,2.5,3.8,2.8,,3.6,0.7,28.8,2,4.4,2.5,0.0,0,27.4,,,,,,,0.36,0.52,-0.16,3.0,-0.6,0.44,3.6,3.6,2.6
"KALAMAZOO, MI",1.30%,24.7,"75,833",20.80%,5.5,0.3,16.80%,2.8,2.5,1.7,5.4,0.7,3.0,0.6,14.9,3.0,,,,,,,1.5,1.5,2.5,1.7,,2.8,0.6,34.9,2,2.9,2.2,21.2,21,37.3,49.9,-12.6,1.0,-25.0,12.4,3.7,0.02,0.0,0.02,3.0,-0.6,0.62,3.1,3.6,1.9
"SPRINGFIELD, MO",0.90%,81.7,"165,785",10.70%,7.9,0.4,16.80%,2.8,2.6,1.8,17.0,1.0,2.0,1.6,24.9,2.0,,,,,,,1.0,1.0,2.3,1.3,,2.7,0.5,30.0,2,2.9,2.2,8.6,12,25.0,40.2,-15.2,2.0,-20.0,4.8,4.2,0.01,0.0,0.01,2.0,-0.05,0.06,1.3,3.5,1.9
"SAN JUAN CAPISTRANO, CA",1.10%,14.1,"35,948",26.30%,3.6,0.2,15.70%,2.6,2.1,1.5,2.2,0.6,3.0,0.0,0.0,5.0,,,,,,,1.5,2.5,2.8,2.2,,1.7,0.3,20.8,2,2.7,2.1,8.9,4,11.7,22.6,-11.0,3.0,-15.0,4.0,4.3,0.02,0.0,0.02,2.0,-0.05,0.07,0.8,3.4,1.9
"CHARLOTTESVILLE, VA",4.20%,10.2,"46,487",26.30%,12.1,0.6,13.90%,2.3,2.5,1.7,0.6,0.1,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,2.3,2.3,,2.4,0.5,16.0,1,2.6,1.3,11.9,5,15.3,21.7,-6.4,3.0,-15.0,8.6,3.4,0.05,0.03,0.02,3.0,-0.6,0.62,3.1,3.3,1.8
"BENTONVILLE, AR",0.30%,31.3,"44,601",17.20%,1.6,0.1,12.60%,2.1,2.8,1.4,2.0,0.4,4.0,0.0,0.0,5.0,,,,,,,2.0,2.5,3.1,2.4,3.7,3.9,3.7,32.3,2,3.8,2.4,6.6,4,21.9,35.8,-13.9,2.0,-20.0,6.1,4.0,0.01,0.0,0.0,1.0,-0.02,0.02,1.2,3.3,3.1
